,month_year,numusers,tool_name_version
98, 2020-01 ,       75,taxonomy_krona_chart/2.6.1.1                                                    
99, 2020-01 ,       74,samtools_idxstats/2.0.3                                                         
100, 2020-01 ,       74, Grep1                                                                                                                                  / Grep1                                                                                                                                  
101, 2020-01 ,       73, CONVERTER_interval_to_bed12_0                                                                                                          / CONVERTER_interval_to_bed12_0                                                                                                          
102, 2020-01 ,       73,deeptools_plot_correlation/3.3.0.0.0                                 
103, 2020-01 ,       73,sam_merge2/1.2.0                                                                        
104, 2020-01 ,       72,fastq_filter/1.1.1                                                                   
105, 2020-01 ,       72,prokka/1.14.5                                                                                 
106, 2020-01 ,       72,salmon/0.14.1.2                                                                          
107, 2020-01 ,       71,bedtools_bamtobed/2.29.0                                                                     
108, 2020-01 ,       70, CONVERTER_fasta_to_fai                                                                                                                 / CONVERTER_fasta_to_fai                                                                                                                 
109, 2020-01 ,       70,snpEff_download/4.3+T.galaxy2                                                                  
110, 2020-01 ,       70, csv_to_tabular                                                                                                                         / csv_to_tabular                                                                                                                         
111, 2020-01 ,       68,cshl_fastx_trimmer/1.0.2                                                            
112, 2020-01 ,       66,tp_easyjoin_tool/1.1.1                                                          
113, 2020-01 ,       65,deeptools_multi_bam_summary/3.3.0.0.0                               
114, 2020-01 ,       64,sam_dump/2.10.4                                                                             
115, 2020-01 ,       63,bedtools_genomecoveragebed/2.29.0                                                            
116, 2020-01 ,       63,varscan/2.4.2                                                                   
117, 2020-01 ,       63,fastq_trimmer/1.1.1                                                                 
118, 2020-01 ,       62,bamtools/2.4.0                                                                           
119, 2020-01 ,       62,ncbi_blastn_wrapper/0.3.3                                                         
120, 2020-01 ,       61, Extract genomic DNA 1                                                                                                                  / Extract genomic DNA 1                                                                                                                  
121, 2020-01 ,       60,cshl_fastq_to_fasta/1.0.2                                                          
122, 2020-01 ,       59,mothur_make_contigs/1.39.5.0                                                      
123, 2020-01 ,       59,mothur_summary_seqs/1.39.5.0                                                      
124, 2020-01 ,       58,picard_AddOrReplaceReadGroups/2.18.2.1                                                     
125, 2020-01 ,       58,mothur_unique_seqs/1.39.5.0                                                        
126, 2020-01 ,       57, CONVERTER_gff_to_bed_0                                                                                                                 / CONVERTER_gff_to_bed_0                                                                                                                 
127, 2020-01 ,       56,diffbind/2.10.0                                                                        
128, 2020-01 ,       55,mothur_screen_seqs/1.39.5.0                                                        
129, 2020-01 ,       54,EMBOSS: transeq101/5.0.0                                                                 
130, 2020-01 ,       54,Kraken2Tax/1.2                                                                         
131, 2020-01 ,       54,collapse_dataset/4.1                                                             
132, 2020-01 ,       54,mothur_align_seqs/1.39.5.0                                                          
133, 2020-01 ,       54,cshl_fastq_quality_boxplot/1.0.1                                            
134, 2020-01 ,       53, CONVERTER_fasta_to_len                                                                                                                 / CONVERTER_fasta_to_len                                                                                                                 
135, 2020-01 ,       52,cshl_fastx_quality_statistics/1.0.1                                      
136, 2020-01 ,       52,gatk_unified_genotyper/0.0.6                                                    
137, 2020-01 ,       52,featurecounts/1.6.3+galaxy2                                                             
138, 2020-01 ,       51,clustalw/2.1                                                                             
139, 2020-01 ,       51, CONVERTER_len_to_linecount                                                                                                             / CONVERTER_len_to_linecount                                                                                                             
140, 2020-01 ,       51,sam_to_bam/2.1                                                                         
141, 2020-01 ,       50, gff2bed1                                                                                                                               / gff2bed1                                                                                                                               
142, 2020-01 ,       50, Remove beginning1                                                                                                                      / Remove beginning1                                                                                                                      
143, 2020-01 ,       49,deeptools_plot_profile/3.3.0.0.0                                         
144, 2020-01 ,       49,deeptools_bam_compare/3.3.0.0.0                                           
145, 2020-01 ,       48,tp_multijoin_tool/1.1.1                                                         
146, 2020-01 ,       48,tp_tail_tool/1.1.0                                                              
147, 2020-01 ,       47, CONVERTER_bed_to_gff_0                                                                                                                 / CONVERTER_bed_to_gff_0                                                                                                                 
148, 2020-01 ,       47,mothur_count_seqs/1.39.5.0                                                          
149, 2020-01 ,       47,fastq_paired_end_joiner/2.0.1.1                                           
150, 2020-01 ,       45,chipseeker/1.18.0+galaxy1                                                              
151, 2020-01 ,       45,Extract genomic DNA 1/3.0.3                                                       
152, 2020-01 ,       45,bedtools_sortbed/2.29.0                                                                      
153, 2020-01 ,       45,samtools_fastx/1.9+galaxy1                                                             
154, 2020-01 ,       44,rseqc_infer_experiment/2.6.4.1                                                               
155, 2020-01 ,       44,ncbi_blastp_wrapper/0.3.3                                                         
156, 2020-01 ,       44,tp_replace_in_column/1.1.3                                                      
157, 2020-01 ,       42,tp_sorted_uniq/1.1.0                                                            
158, 2020-01 ,       42,tp_awk_tool/1.1.1                                                               
159, 2020-01 ,       41, CONVERTER_bedgraph_to_bigwig                                                                                                           / CONVERTER_bedgraph_to_bigwig                                                                                                           
160, 2020-01 ,       41,vcfallelicprimitives/1.0.0_rc1+galaxy0                                       
161, 2020-01 ,       41,picard_CleanSam/2.18.2.1                                                                   
162, 2020-01 ,       40,picard_CollectInsertSizeMetrics/2.18.2.1                                                   
163, 2020-01 ,       40,bedtools_getfastabed/2.29.0                                                                  
164, 2020-01 ,       40,tp_find_and_replace/1.1.2                                                       
165, 2020-01 ,       40,fasta_filter_by_length/1.1                                                 
166, 2020-01 ,       39,mothur_filter_seqs/1.39.5.0                                                        
167, 2020-01 ,       39,tp_grep_tool/1.1.1                                                              
168, 2020-01 ,       39,fastq_quality_trimmer/1.1.1                                              
169, 2020-01 ,       39,deeptools_multi_bigwig_summary/3.3.0.0.0                         
170, 2020-01 ,       38,bcftools_call/1.9+galaxy1                                                               
171, 2020-01 ,       38,bcftools_norm/1.9+galaxy1                                                               
172, 2020-01 ,       38,ncbi_makeblastdb/0.3.3                                                            
173, 2020-01 ,       38,sam_pileup/1.1.2                                                                       
174, 2020-01 ,       37,bcftools_mpileup/1.9+galaxy2                                                         
175, 2020-01 ,       37,snpEff_databases/4.3+T.galaxy2                                                                 
176, 2020-01 ,       37, CONVERTER_bed_to_fli_0                                                                                                                 / CONVERTER_bed_to_fli_0                                                                                                                 
177, 2020-01 ,       37,goseq/1.36.0+galaxy0                                                                            
178, 2020-01 ,       37,get_flanks1/1.0.0                                                                      
179, 2020-01 ,       37,deeptools_plot_fingerprint/3.3.0.0.0                                 
180, 2020-01 ,       36,mothur_classify_seqs/1.39.5.0                                                    
181, 2020-01 ,       36,mothur_pre_cluster/1.39.5.0                                                        
182, 2020-01 ,       36,bedtools_mergebed/2.29.0                                                                     
183, 2020-01 ,       36,bcftools_plugin_counts/1.9+galaxy1                                             
184, 2020-01 ,       36,fastq_join/1.1.2-806.1                                                                
185, 2020-01 ,       36,samtools_view/1.9                                                                       
186, 2020-01 ,       36,naive_variant_caller/0.0.4                                               
187, 2020-01 ,       35, addValue                                                                                                                               / addValue                                                                                                                               
188, 2020-01 ,       35, CONVERTER_bed_to_bgzip_0                                                                                                               / CONVERTER_bed_to_bgzip_0                                                                                                               
189, 2020-01 ,       34,vcf2tsv/1.0.0_rc1+galaxy0                                                                 
190, 2020-01 ,       33,ncbi_acc_download/0.2.5+galaxy0                                                     
191, 2020-01 ,       33,kallisto_quant/0.46.0.4                                                                
192, 2020-01 ,       33,sam_bw_filter/1.0.0                                                       
193, 2020-01 ,       33,macs2_predictd/2.1.1.20160309.1                                                                 
194, 2020-01 ,       32, CONVERTER_ref_to_seq_taxomony                                                                                                          / CONVERTER_ref_to_seq_taxomony                                                                                                          
195, 2020-01 ,       32, mergeCols1                                                                                                                             / mergeCols1                                                                                                                             
196, 2020-01 ,       31,deeptools_plot_pca/3.3.0.0.0                                                 
197, 2020-01 ,       31,rbc_mafft/7.221.3                                                                           
198, 2020-01 ,       31,gops_subtract_1/1.0.0                                                                    
199, 2020-01 ,       31,gatk_realigner_target_creator/0.0.4                                      
200, 2020-01 ,       30,gffread/2.2.1.2                                                                           
201, 2020-01 ,       30, CONVERTER_bed_to_tabix_0                                                                                                               / CONVERTER_bed_to_tabix_0                                                                                                               
202, 2020-01 ,       30,datamash_ops/1.1.0                                                                       
203, 2020-01 ,       30,tp_replace_in_line/1.1.2                                                        
204, 2020-01 ,       30,cshl_fastx_barcode_splitter/1.0.1                                          
205, 2020-01 ,       30,table_annovar/0.1                                                                   
206, 2020-01 ,       29,mothur_chimera_vsearch/1.39.5.1                                                
207, 2020-01 ,       29, Summary_Statistics1                                                                                                                    / Summary_Statistics1                                                                                                                    
208, 2020-01 ,       29,gatk_indel_realigner/0.0.6                                                        
209, 2020-01 ,       28, bed2gff1                                                                                                                               / bed2gff1                                                                                                                               
210, 2020-01 ,       28,ncbi_blastx_wrapper/0.3.3                                                         
211, 2020-01 ,       28,samtools_merge/1.9                                                                     
212, 2020-01 ,       28,dexseq_count/1.28.1.0                                                                          
213, 2020-01 ,       28,tp_sed_tool/1.1.1                                                               
214, 2020-01 ,       28,bamleftalign/1.1.0.46-0                                                                 
215, 2020-01 ,       28,mothur_make_shared/1.39.5.0                                                        
216, 2020-01 ,       27,gffcompare/0.11.2                                                                          
217, 2020-01 ,       27,lofreq_call/2.1.3.1+galaxy0                                                               
218, 2020-01 ,       27,gatk_depth_of_coverage/0.0.2                                                    
219, 2020-01 ,       27,deeptools_bigwig_compare/3.3.0.0.0                                     
220, 2020-01 ,       27,fasta_compute_length/1.0.2                                                   
221, 2020-01 ,       26,gops_merge_1/1.0.0                                                                          
222, 2020-01 ,       26, __DATA_FETCH__                                                                                                                         / __DATA_FETCH__                                                                                                                         
223, 2020-01 ,       26, CONVERTER_fasta_to_2bit                                                                                                                / CONVERTER_fasta_to_2bit                                                                                                                
224, 2020-01 ,       26,bedtools_multiintersectbed/2.29.0                                                            
225, 2020-01 ,       26,samtools_depth/1.9                                                                     
226, 2020-01 ,       26,cshl_fastx_reverse_complement/1.0.2                                      
227, 2020-01 ,       26,snpSift_extractFields/4.3+t.galaxy0                                                           
228, 2020-01 ,       26,mothur_cluster_split/1.39.5.0                                                    
229, 2020-01 ,       25,spades/3.12.0+galaxy1                                                                          
230, 2020-01 ,       25,mothur_remove_seqs/1.39.5.0                                                        
231, 2020-01 ,       25,mothur_classify_otu/1.39.5.0                                                      
232, 2020-01 ,       25,rseqc_bam_stat/2.6.4                                                                         
233, 2020-01 ,       25, trimmer                                                                                                                                / trimmer                                                                                                                                
234, 2020-01 ,       24,kraken-report/1.2.4                                                                 
235, 2020-01 ,       24,fastq_manipulation/1.1.1                                                       
236, 2020-01 ,       24,lastz_wrapper_2/1.3.2                                                                       
237, 2020-01 ,       24, CONVERTER_gff_to_fli_0                                                                                                                 / CONVERTER_gff_to_fli_0                                                                                                                 
238, 2020-01 ,       24,picard_ARRG/1.56.0                                                                         
239, 2020-01 ,       24,fastq_groomer/1.0.4                                                                 
240, 2020-01 ,       24, CONVERTER_gff_to_interval_index_0                                                                                                      / CONVERTER_gff_to_interval_index_0                                                                                                      
241, 2020-01 ,       24,snpSift_filter/4.3+t.galaxy0                                                                  
242, 2020-01 ,       24,mothur_remove_lineage/1.39.5.0                                                  
243, 2020-01 ,       24, Count1                                                                                                                                 / Count1                                                                                                                                 
244, 2020-01 ,       23,bedtools_multicovtbed/2.29.0                                                                 
245, 2020-01 ,       23, Paste1                                                                                                                                 / Paste1                                                                                                                                 
246, 2020-01 ,       23,picard_SamToFastq/2.18.2.1                                                                 
247, 2020-01 ,       23,picard_SortSam/2.18.2.1                                                                    
248, 2020-01 ,       23,gatk_variant_select/0.0.3                                                          
249, 2020-01 ,       22,fastq_to_tabular/1.1.1                                                           
250, 2020-01 ,       22,bowtie2/2.3.4.2                                                                           
251, 2020-01 ,       22,snpEff_build_gb/4.3+T.galaxy4                                                                  
252, 2020-01 ,       22,kraken-translate/1.2.3                                                           
253, 2020-01 ,       22,fastq_paired_end_deinterlacer/1.1.2                                 
254, 2020-01 ,       22,mothur_count_groups/1.39.5.0                                                      
255, 2020-01 ,       21,bedtools_closestbed/2.29.0                                                                   
256, 2020-01 ,       21, CONVERTER_sam_to_bigwig_0                                                                                                              / CONVERTER_sam_to_bigwig_0                                                                                                              
257, 2020-01 ,       21,meme_meme/4.12.0.0                                                                          
258, 2020-01 ,       21,XY_Plot_1/1.0.2                                                                           
259, 2020-01 ,       21,deeptools_plot_coverage/3.3.0.0.0                                       
260, 2020-01 ,       21,samtools_split/1.9                                                                 
261, 2020-01 ,       21,snippy/4.4.5+galaxy0                                                                           
262, 2020-01 ,       21,sam_to_bam/1.1.2                                                                       
263, 2020-01 ,       21,snpsift_vartype/4.3+t.galaxy0                                                                 
264, 2020-01 ,       21,megablast_wrapper/1.2.0                                                         
265, 2020-01 ,       21,rseqc_geneBody_coverage/2.6.4.3                                                              
266, 2020-01 ,       20,deseq2/2.11.40.2                                                                               
267, 2020-01 ,       20, wc_gnu                                                                                                                                 / wc_gnu                                                                                                                                 
268, 2020-01 ,       20,mothur_rarefaction_single/1.39.5.0                                          
269, 2020-01 ,       20,bedtools_subtractbed/2.29.0                                                                  
270, 2020-01 ,       20,cshl_fastx_collapser/1.0.1                                                        
271, 2020-01 ,       20,fastq_paired_end_interlacer/1.2.0.1                                   
272, 2020-01 ,       20, liftOver1                                                                                                                              / liftOver1                                                                                                                              
273, 2020-01 ,       20,ngsutils_bam_filter/0.5.9                                                         
274, 2020-01 ,       20,snippy/4.4.5+galaxy1                                                                           
275, 2020-01 ,       20,cshl_fastx_clipper/1.0.3                                                            
276, 2020-01 ,       20,heatmap_1/1.0.0                                                                       
277, 2020-01 ,       20,vcfcombine/1.0.0_rc1+galaxy0                                                           
278, 2020-01 ,       19,fastqc/0.72                                                                                
279, 2020-01 ,       19,rgPicardMarkDups/1.56.0                                                                    
280, 2020-01 ,       19,samtools_bedcov/2.0.2                                                             
281, 2020-01 ,       19,picard_CASM/2.18.2.1                                                                       
282, 2020-01 ,       19,velvetoptimiser/2.2.6                                                       
283, 2020-01 ,       19, CONVERTER_Bam_Bai_0                                                                                                                    / CONVERTER_Bam_Bai_0                                                                                                                    
284, 2020-01 ,       19,rseqc_FPKM_count/2.6.4.1                                                                     
285, 2020-01 ,       19,vcfvcfintersect/1.0.0_rc1+galaxy0                                                 
286, 2020-01 ,       19,bcftools_merge/1.9+galaxy1                                                             
287, 2020-01 ,       19,mothur_sub_sample/1.39.5.0                                                          
288, 2020-01 ,       18, CONVERTER_vcf_to_bgzip_0                                                                                                               / CONVERTER_vcf_to_bgzip_0                                                                                                               
289, 2020-01 ,       18,picard_FastqToSam/2.18.2.1                                                                 
290, 2020-01 ,       18,mothur_taxonomy_to_krona/1.0                                                 
291, 2020-01 ,       18,bedtools_annotatebed/2.29.0                                                                  
292, 2020-01 ,       18,histogram_rpy/1.0.3                                                                     
293, 2020-01 ,       18,sailfish/0.10.1.1                                                                      
294, 2020-01 ,       18,hisat2/2.1.0+galaxy4                                                                           
295, 2020-01 ,       18,snpEff/1.0                                                                                
296, 2020-01 ,       18,dexseq/1.28.1+galaxy1                                                                          
297, 2020-01 ,       18,trim_galore/0.4.3.1                                                                 
298, 2020-01 ,       18,bedtools_coveragebed/2.22.1                                                                  
299, 2020-01 ,       18,bcftools_view/1.9+galaxy1                                                               
300, 2020-01 ,       18,bg_diamond/0.9.21.0                                                                     
301, 2020-01 ,       18,cshl_fasta_formatter/1.0.1                                                        
302, 2020-01 ,       18,bg_diamond_makedb/0.9.21                                                                
303, 2020-01 ,       17,mothur_get_groups/1.39.5.0                                                          
304, 2020-01 ,       17,pileup_parser/1.0.2                                                                 
305, 2020-01 ,       17,megahit/1.1.3.4                                                                               
306, 2020-01 ,       17,trimmomatic/0.36.5                                                                   
307, 2020-01 ,       17,samtools_markdup/1.9+galaxy2                                                         
308, 2020-01 ,       17,mothur_summary_single/1.39.5.0                                                  
309, 2020-01 ,       17,circos/0.69.8+galaxy1                                                                          
310, 2020-01 ,       16,picard_NormalizeFasta/2.18.2.1                                                             
311, 2020-01 ,       16,snpSift_annotate/4.3+t.galaxy1                                                                
312, 2020-01 ,       16, __BUILD_LIST__                                                                                                                         / __BUILD_LIST__                                                                                                                         
