,total_cpu_time_seconds,num_jobs,tool_name_version
2021-08,371232,170,maker/2.31.11
2021-08,370134,21,metaspades/3.9.0
2021-08,369901,97,deeptools_multi_bigwig_summary/3.3.2.0.0
2021-08,361692,253,kallisto_quant/0.46.2+galaxy0
2021-08,360136,288,naive_variant_caller/0.0.4
2021-08,356543,77,meme_chip/4.11.2+galaxy1
2021-08,352560,49,deeptools_plot_fingerprint/3.3.2.0.0
2021-08,347060,668,bamFilter/2.4.1
2021-08,342964,1530,fastp/0.20.1+galaxy0
2021-08,333493,294,lofreq_call/2.1.5+galaxy1
2021-08,319804,304,picard_MergeSamFiles/2.18.2.1
2021-08,308471,279,clustalw/2.1
2021-08,308000,96,minimap2/2.20+galaxy2
2021-08,298195,57,mothur_classify_seqs/1.39.5.0
2021-08,286602,3790,__DATA_FETCH__/__DATA_FETCH__
2021-08,279754,28,hisat2/2.1.0+galaxy5
2021-08,278954,405,fastq_stats/1.1.5
2021-08,275646,69,fastqe/0.2.6+galaxy1
2021-08,272697,417,fastq_filter/1.1.5
2021-08,264810,116,__EXPORT_HISTORY__/__EXPORT_HISTORY__
2021-08,263654,8,freebayes/1.1.0.46-0
2021-08,252173,1735,join1/join1
2021-08,251910,40,rna_starsolo/2.7.8a
2021-08,241831,195,dada2_dada/1.18+galaxy0
2021-08,237338,267,samtools_fastx/1.9+galaxy1
2021-08,233282,101,mothur_pre_cluster/1.39.5.0
2021-08,221965,9659,CONVERTER_gz_to_uncompressed/CONVERTER_gz_to_uncompressed
2021-08,218417,381,fastq_paired_end_interlacer/1.2.0.1+galaxy0
2021-08,204856,267,cuffmerge/0.0.5
2021-08,203972,21,deeptools_bam_coverage/3.1.2.0.0
2021-08,203747,72,cutadapt/1.16.6
2021-08,193529,254,snippy/4.6.0+galaxy0
2021-08,187883,10882,ucsc_table_direct1/ucsc_table_direct1
2021-08,187752,37,MAF_To_Fasta1/MAF_To_Fasta1
2021-08,186372,75,CONVERTER_bam_to_qname_sorted_bam/CONVERTER_bam_to_qname_sorted_bam
2021-08,177352,610,cshl_fastq_quality_filter/1.0.2+galaxy0
2021-08,177184,321,samtools_sort/2.0.3
2021-08,173184,820,lofreq_viterbi/2.1.5+galaxy0
2021-08,168936,759,porechop/0.2.4
2021-08,166733,56,mothur_cluster_split/1.39.5.0
2021-08,163367,45,microsatellite/1.0.0
2021-08,161519,515,snpEff/4.3+T.galaxy1
2021-08,155779,1063,featurecounts/2.0.1+galaxy1
2021-08,154315,11,dexseq/1.28.1+galaxy1
2021-08,154282,193,bamleftalign/1.3.1
2021-08,151707,442,mothur_make_contigs/1.39.5.1
2021-08,150675,3463,__SET_METADATA__/__SET_METADATA__
2021-08,148005,757,samtool_filter2/1.8+galaxy1
2021-08,147365,90,dada2_learnErrors/1.18+galaxy0
2021-08,146734,535,chipseeker/1.18.0+galaxy1
2021-08,144460,98,mothur_align_seqs/1.39.5.0
2021-08,142399,35,mothur_pcr_seqs/1.39.5.0
2021-08,142106,39,fastq_groomer/1.1.1
2021-08,140401,312,CONVERTER_bam_to_bigwig_0/CONVERTER_bam_to_bigwig_0
2021-08,137728,3,fasterq_dump/2.10.9+galaxy0
2021-08,133426,251,circos/0.69.8+galaxy7
2021-08,132020,37,deeptools_bam_coverage/3.3.0.0.0
2021-08,131088,152,rseqc_read_distribution/2.6.4.1
2021-08,127929,148,ngsutils_bam_filter/0.5.9
2021-08,126958,353,qualimap_bamqc/2.2.2c
2021-08,124548,15,egsea/1.20.0
2021-08,124364,253,diffbind/2.10.0
2021-08,123020,271,samtools_view/1.9+galaxy3
2021-08,117209,39,edger/3.24.1+galaxy1
2021-08,111769,157,fasttree/2.1.10+galaxy1
2021-08,110562,266,ivar_removereads/1.3.1+galaxy0
2021-08,109057,766,gops_join_1/1.0.0
2021-08,108648,1,hyphy_fel/2.5.31+galaxy1
2021-08,107093,4,hyphy_bgm/2.5.31+galaxy2
2021-08,105570,9,bowtie2/2.3.4.3
2021-08,105111,23,varscan_somatic/2.4.3.6
2021-08,104852,15,repeatmasker_wrapper/4.0.9
2021-08,98780,60,vsearch_chimera_detection/1.9.7.0
2021-08,97534,36,fastq_manipulation/1.1.5
2021-08,92285,44,fastq_paired_end_splitter/1.1.5
2021-08,91189,250,CONVERTER_bed_gff_or_vcf_to_bigwig_0/CONVERTER_bed_gff_or_vcf_to_bigwig_0
2021-08,89822,580,deg_annotate/1.1.0
2021-08,87993,488,deseq2/2.11.40.6+galaxy2
2021-08,87238,288,cshl_fastx_trimmer/1.0.2+galaxy0
2021-08,85870,153,samtools_merge/1.9
2021-08,85008,6,disco/1.2.0
2021-08,84806,301,picard_SortSam/2.18.2.1
2021-08,82482,155,bwa/0.7.12.1
2021-08,81177,5,hisat2/2.1.0+galaxy3
2021-08,80712,2241,deeptools_plot_heatmap/3.3.2.0.1
2021-08,80089,14,gd_raxml/1.0.0
2021-08,79941,782,CONVERTER_interval_to_bed_0/CONVERTER_interval_to_bed_0
2021-08,75836,120,charts/1.0.1
2021-08,74244,2469,fastq_to_fasta_python/1.1.5
2021-08,72750,76,dada2_assignTaxonomyAddspecies/1.18+galaxy0
2021-08,72135,199,bedtools_genomecoveragebed/2.30.0
2021-08,71875,13,fastqe/0.2.6+galaxy2
2021-08,71872,1040,dada2_filterAndTrim/1.18+galaxy0
2021-08,71170,554,ivar_trim/1.3.1+galaxy0
2021-08,70963,63,sailfish/0.10.1.1
2021-08,70585,343,abricate/1.0.1
2021-08,68206,124,varscan/2.4.2
2021-08,67811,19,picard_ValidateSamFile/2.18.2.1
2021-08,67594,37,iqtree/2.1.2+galaxy0
2021-08,67245,4,pipelign/0.2+galaxy0
2021-08,66835,1231,samtools_stats/2.0.2+galaxy2
2021-08,64843,185,rseqc_bam2wig/2.6.4
2021-08,61551,279,bam_to_sam/2.0.1
2021-08,60255,280,bcftools_call/1.10
2021-08,59824,282,bamtools/2.4.0.0
2021-08,59601,32,mothur_chimera_vsearch/1.39.5.2
2021-08,58147,23,megablast_wrapper/1.2.0
2021-08,58011,5,feelnc/0.2
2021-08,56748,16,deeptools_compute_matrix/3.1.2.0.0
2021-08,55735,7,mothur_dist_seqs/1.39.5.0
2021-08,55572,588,wig_to_bigWig/wig_to_bigWig
2021-08,55257,1479,vcffilter2/1.0.0_rc3+galaxy3
2021-08,53925,1205,vegan_rarefaction/2.4-3
2021-08,53697,106,bioext_bealign/0.20.1+galaxy0
2021-08,53513,139,tb_profiler_profile/2.8.14+galaxy1
2021-08,53506,31,flash/1.2.11.4
2021-08,52218,92,pathview/1.24.0+galaxy0
2021-08,50208,118,cshl_fastx_quality_statistics/1.0.1
2021-08,49112,1091,fasta_merge_files_and_filter_unique_sequences/1.2.0
2021-08,49085,332,bedtools_bamtobed/2.30.0+galaxy1
2021-08,48765,34,deeptools_plot_coverage/3.3.2.0.0
2021-08,47099,52,transdecoder/5.5.0+galaxy1
2021-08,46889,47,trinotate/3.2.1
2021-08,46506,9,maxbin2/2.2.7+galaxy2
2021-08,46208,40,samtools_calmd/2.0.2
2021-08,46100,2,CONVERTER_cram_to_bam_0/CONVERTER_cram_to_bam_0
2021-08,45906,991,dada2_mergePairs/1.18+galaxy0
2021-08,45763,68,lastz_wrapper_2/1.3.3
2021-08,44748,4,CONVERTER_sam_to_bigwig_0/CONVERTER_sam_to_bigwig_0
2021-08,44119,113,trim_galore/0.4.3.1
2021-08,43693,635,edger/3.34.0
2021-08,43682,68,varscan_mpileup/2.4.3.1
2021-08,43272,11,cutadapt/1.16.5
2021-08,42159,529,picard_AddOrReplaceReadGroups/2.18.2.1
2021-08,41758,30,bedtools_multicovtbed/2.30.0
2021-08,41259,706,lofreq_indelqual/2.1.5+galaxy0
2021-08,41244,200,CONVERTER_interval_to_bedstrict_0/CONVERTER_interval_to_bedstrict_0
2021-08,40861,52,qualimap_rnaseq/2.2.2d+galaxy1
2021-08,40645,3893,fastq_join/1.1.2-806.1
2021-08,40544,390,qualimap_bamqc/2.2.2d+galaxy3
2021-08,40353,109,sam_pileup/1.1.3
2021-08,40220,9,nextclade/1.2.3+galaxy0
2021-08,40078,11,plant_tribes_kaks_analysis/1.0.3.0
2021-08,39336,2433,Filter1/Filter1
2021-08,38951,18,bedtools_unionbedgraph/2.30.0
2021-08,38282,4543,fasta_filter_by_length/1.2
2021-08,36731,842,ggplot2_heatmap2/3.0.1
2021-08,36533,353,comp1/comp1
2021-08,36070,4259,cshl_fastx_collapser/1.0.1
2021-08,35752,1231,ebi_sra_main/ebi_sra_main
2021-08,35676,1,bwa_mem/0.7.15.1
2021-08,35381,20,__EXPORT_HISTORY_TO_URI__/__EXPORT_HISTORY_TO_URI__
2021-08,35036,354,goseq/1.44.0+galaxy0
2021-08,34417,657,tp_grep_tool/1.1.1
2021-08,33148,857,cshl_fastq_to_fasta/1.0.2
2021-08,32368,451,limma_voom/3.48.0
2021-08,31065,333,quast/5.0.2+galaxy1
2021-08,30864,37,gatk4_mutect2/4.1.7.0+galaxy0
2021-08,30609,193,bcftools_plugin_counts/1.10+galaxy1
2021-08,30436,87,sam_to_bam/2.1.1
2021-08,29819,870,tp_find_and_replace/1.1.3
2021-08,29602,849,volcanoplot/0.0.5
2021-08,29454,116,bedtools_bedtobam/2.30.0
2021-08,29263,60,sickle/1.33.2
2021-08,28507,31,mimodd_varextract/0.1.9
2021-08,28458,1217,Cut1/Cut1
2021-08,28128,1,bowtie2/2.3.2.2
2021-08,27062,91,cshl_fastx_clipper/1.0.3+galaxy0
2021-08,26756,47,snippy_core/4.5.0
2021-08,26743,111,bcftools_norm/1.10
2021-08,26407,1675,sra_source/sra_source
2021-08,25663,4,multigps/0.74.0
2021-08,25545,321,Count1/Count1
2021-08,25545,2845,Grep1/Grep1
2021-08,24958,17,bamSplit/2.4.0
2021-08,24931,8,dada2_assignTaxonomyAddspecies/1.20+galaxy0
2021-08,24624,1619,multiqc/1.9+galaxy1
2021-08,24428,722,samtools_view/1.9+galaxy2
2021-08,23764,480,kraken2/2.1.1+galaxy1
2021-08,23478,7,EMBOSS: einverted28/5.0.0.1
2021-08,23378,38,CONVERTER_vcf_to_bgzip_0/CONVERTER_vcf_to_bgzip_0
2021-08,22877,110,mummer_nucmer/4.0.0beta2+galaxy1
2021-08,22701,298,picard_CollectInsertSizeMetrics/2.18.2.1
2021-08,22454,468,rseqc_infer_experiment/2.6.4.1
2021-08,22420,28,samtools_depth/1.9
2021-08,22381,38,deeptools_compute_matrix/3.0.2.0
2021-08,21762,3,deeptools_bam_compare/3.1.2.0.0
2021-08,21497,65,vcfcombine/1.0.0_rc3+galaxy0
2021-08,21413,411,snpSift_filter/4.3+t.galaxy1
2021-08,20997,24,fastq_dump/2.10.9+galaxy0
2021-08,20888,207,pe_histogram/1.0.1
2021-08,20465,10,salmon/1.3.0+galaxy1
2021-08,20391,2252,tp_cut_tool/1.1.0
2021-08,20194,87,macs2_predictd/2.1.1.20160309.1
2021-08,20045,188,CONVERTER_vcf_to_vcf_bgzip_0/CONVERTER_vcf_to_vcf_bgzip_0
2021-08,19615,1984,fasta2tab/1.1.1
2021-08,19547,31,prinseq/0.20.4
2021-08,19529,279,mothur_summary_seqs/1.39.5.0
2021-08,19385,367,CONVERTER_fastq_to_fqtoc0/CONVERTER_fastq_to_fqtoc0
2021-08,19168,11,msaboot/0.1.2
2021-08,19161,24,trimmomatic/0.36.5
2021-08,19134,1,hisat2/2.1.0
2021-08,19108,422,snpSift_extractFields/4.3+t.galaxy0
2021-08,19065,468,annotatemyids/3.12.0
2021-08,18852,36,seurat/3.2.2+galaxy0
2021-08,18383,358,table_annovar/0.2
2021-08,17933,1026,deeptools_plot_profile/3.3.2.0.0
2021-08,17795,224,picard_SamToFastq/2.18.2.2
2021-08,17439,156,picard_CASM/2.18.2.1
2021-08,17293,156,samtools_view/1.9+galaxy1
2021-08,17229,791,cshl_fastx_barcode_splitter/1.0.1
2021-08,17199,1,kpca1/1.0.0
2021-08,17043,393,CONVERTER_gff_to_bgzip_0/CONVERTER_gff_to_bgzip_0
2021-08,17020,5,bamtools_split/2.4.0
2021-08,16298,182,meme_meme/5.0.5.0
2021-08,16178,10,trimmomatic/0.36.6
2021-08,16123,187,mothur_screen_seqs/1.39.5.1
2021-08,15975,108,seqtk_sample/1.3.2
2021-08,15866,1867,cshl_fastq_to_fasta/1.0.0
2021-08,15858,9,hyphy_fubar/2.5.31+galaxy1
2021-08,15856,6,bamtools/0.0.1
2021-08,15772,136,fastq_to_tabular/1.1.5
2021-08,15574,1736,tab2fasta/1.1.1
2021-08,15456,646,seq_filter_by_id/0.2.7
2021-08,15283,23,bamtools/2.4.0
2021-08,15213,75,mothur_filter_seqs/1.39.5.0
2021-08,15058,256,EMBOSS: transeq101/5.0.0
2021-08,14978,18,mlst/2.19.0
2021-08,14948,463,samtools_flagstat/2.0.3
2021-08,14898,78,idr/2.0.3
2021-08,14717,13,kallisto_pseudo/0.46.2+galaxy0
2021-08,14634,805,ivar_consensus/1.3.1+galaxy0
2021-08,14410,16,deeptools_compute_matrix/2.5.0.0
2021-08,14343,29,deeptools_multi_bam_summary/2.5.0.0
2021-08,14105,90,rseqc_FPKM_count/2.6.4.1
2021-08,13992,440,fastqc/0.72
2021-08,13959,100,edger/3.34.0+galaxy1
2021-08,13938,110,picard_FastqToSam/2.18.2.1
2021-08,13824,1414,bedtools_intersectbed/2.30.0
2021-08,13821,17,progressivemauve/2015_02_13.0
2021-08,13801,202,cshl_fastx_collapser/1.0.0
2021-08,13747,123,gatk4_mutect2/4.1.7.0+galaxy02
2021-08,13662,3,scpipe/1.0.0+galaxy2
2021-08,13608,1779,EMBOSS: extractseq35/5.0.0
2021-08,13430,37,length_and_gc_content/0.1.1
2021-08,13312,3,bellerophon/1.0+galaxy0
2021-08,13282,18,macs2_filterdup/2.1.1.20160309.1
2021-08,13160,548,gops_intersect_1/1.0.0
2021-08,13060,4,deeptools_plot_enrichment/3.3.2.0.0
2021-08,13057,2,cuffnorm/2.2.1.3
2021-08,12915,103,tximport/0.1
2021-08,12778,48,CONVERTER_bz2_to_uncompressed/CONVERTER_bz2_to_uncompressed
2021-08,12510,50,cuffmerge/2.2.1.2
2021-08,12477,268,mothur_make_group/1.39.5.0
2021-08,12344,111,deeptools_bam_coverage/2.5.0.0
2021-08,12129,1,anndata_export/0.7.5+galaxy0
2021-08,12094,12,dada2_learnErrors/1.20+galaxy0
2021-08,12044,15,vsearch_alignment/2.8.3.0
2021-08,11777,1019,csv_to_tabular/csv_to_tabular
2021-08,11776,2,peakcalling_sicer/1.1
2021-08,11732,38,samtools_slice_bam/2.0.1
2021-08,11554,348,bp_genbank2gff3/1.1
2021-08,11435,9,macs2_bdgcmp/2.1.1.20160309.0
2021-08,11433,4,rseqc_tin/2.6.4.1
2021-08,11425,1006,Grouping1/Grouping1
2021-08,11272,90,velveth/1.2.10.2
2021-08,11214,41,mothur_fastq_info/1.39.5.0
2021-08,11028,4,medaka_variant_pipeline/1.3.2+galaxy0
2021-08,10636,127,limma_voom/3.48.0+galaxy1
2021-08,10054,98,mothur_count_seqs/1.39.5.0
2021-08,10013,53,genrich/0.5+galaxy2
2021-08,9833,79,vcfallelicprimitives/1.0.0_rc3+galaxy0
2021-08,9811,113,augustus_training/3.4.0
2021-08,9615,81,snpEff_build_gb/4.3+T.galaxy4
2021-08,9569,1,unicycler/0.4.6.0
2021-08,9527,160,CONVERTER_bedgraph_to_bigwig/CONVERTER_bedgraph_to_bigwig
2021-08,9459,124,gops_subtract_1/1.0.0
2021-08,9391,73,dada2_removeBimeraDenovo/1.18+galaxy0
2021-08,9355,146,featurecounts/1.6.4+galaxy2
2021-08,9273,125,blastxml_to_tabular/2.10.1+galaxy0
2021-08,9175,86,bedtools_bamtofastq/2.27.1
2021-08,9115,6,maker/2.31.11+galaxy1
2021-08,9047,221,stringtie_merge/2.1.1
2021-08,8985,512,sort1/sort1
2021-08,8941,3,seq_composition/0.0.5
2021-08,8889,4,maf_stats1/maf_stats1
2021-08,8529,37,bowtie_wrapper/1.1.2
2021-08,8489,136,picard_CleanSam/2.18.2.1
2021-08,8447,61,dada2_plotQualityProfile/1.18+galaxy0
2021-08,8409,53,__IMPORT_HISTORY__/__IMPORT_HISTORY__
2021-08,8095,453,tp_cat/0.1.0
2021-08,8071,118,snpSift_annotate/4.3+t.galaxy1
2021-08,8065,1,presto_assemblepairs/0.5.4
2021-08,7908,9,salmon/0.14.1.2+galaxy1
2021-08,7832,370,Kraken2Tax/1.2
2021-08,7781,295,fgsea/1.8.0+galaxy1
2021-08,7759,77,bcftools_merge/1.10
2021-08,7735,57,featurecounts/1.6.4+galaxy1
2021-08,7649,20,pilon/1.20.1
2021-08,7632,5,medaka_consensus_pipeline/1.3.2+galaxy0
2021-08,7631,828,addName/0.2.0
2021-08,7405,6,fastq_dump/2.10.8+galaxy0
2021-08,7402,11,wiggle2simple1/wiggle2simple1
2021-08,7386,698,cat_multiple/0.2
2021-08,7308,11,CONVERTER_fasta_to_bowtie_base_index/CONVERTER_fasta_to_bowtie_base_index
2021-08,7127,173,mergeCols1/mergeCols1
2021-08,7122,108,kraken/1.3.1
2021-08,6972,19,bacteria_tradis/1.4.5+galaxy2
2021-08,6932,136,pileup_parser/1.0.2
2021-08,6849,216,fasta-stats/1.0.1
2021-08,6788,7,vsearch_chimera_detection/2.8.3.0
2021-08,6682,19,samtools_split/1.9
2021-08,6679,12,kallisto_pseudo/0.46.0.2
2021-08,6642,27,trinity_super_transcripts/2.9.1
2021-08,6552,446,CONVERTER_fasta_to_tabular/CONVERTER_fasta_to_tabular
2021-08,6524,277,filtlong/0.2.0+galaxy1
2021-08,6384,21,gmx_em/2020.2+galaxy0
2021-08,6362,85,rseqc_bam_stat/2.6.4
2021-08,6348,3,mimodd_sort/0.1.9
2021-08,6288,732,cshl_fastq_quality_boxplot/1.0.1
2021-08,6259,128,samtool_filter2/1.1.2
2021-08,6166,7,prinseq/0.20.4+galaxy1
2021-08,6165,177,ggplot2_heatmap/2.2.1
2021-08,6020,21,picard_MarkDuplicatesWithMateCigar/2.18.2.1
2021-08,6014,172,Convert characters1/Convert characters1
2021-08,6010,1,cuffdiff/2.2.1.3
2021-08,5963,348,cshl_fastx_trimmer/1.0.0
2021-08,5930,194,cshl_fastx_reverse_complement/1.0.2+galaxy0
2021-08,5878,455,tp_easyjoin_tool/1.1.2
2021-08,5859,30,bcftools_filter/1.10
2021-08,5834,8,picard_MarkDuplicates/2.18.2.1
2021-08,5670,3,samtools_mpileup/2.1.3
2021-08,5665,140,CONVERTER_vcf_bgzip_to_tabix_0/CONVERTER_vcf_bgzip_to_tabix_0
2021-08,5477,4,mothur_seq_error/1.39.5.0
2021-08,5385,8,mothur_cluster/1.39.5.0
2021-08,5330,190,samtools_fixmate/1.9
2021-08,5253,37,bioext_bam2msa/0.19.7.0
2021-08,5215,95,bwa_mem/0.1
2021-08,5198,78,goenrichment/2.0.1
2021-08,5135,82,vcf2tsv/1.0.0_rc3+galaxy0
2021-08,5131,48,meme_fimo/5.0.5.0
2021-08,5127,330,bedtools_getfastabed/2.30.0
2021-08,5093,249,deeptools_plot_correlation/3.3.2.0.0
2021-08,5084,420,tp_replace_in_line/1.1.2
2021-08,5061,190,rgweblogo3/3.5.0
2021-08,4969,69,fastq_combiner/1.1.5
2021-08,4949,38,anndata_inspect/0.7.5+galaxy0
2021-08,4940,435,vcfvcfintersect/1.0.0_rc3+galaxy0
2021-08,4869,42,pizzly/0.37.3.1
2021-08,4796,167,ncbi_makeblastdb/2.10.1+galaxy0
2021-08,4701,5,lofreq_alnqual/2.1.5+galaxy0
2021-08,4695,52,volcanoplot/0.0.3
2021-08,4654,40,plant_tribes_assembly_post_processor/1.0.3.0
2021-08,4643,11,macs2_bdgdiff/2.1.1.20160309.1
2021-08,4625,35,jvarkit_wgscoverageplotter/20201223+galaxy0
2021-08,4569,503,fastq_to_fasta_python/1.1.1
2021-08,4557,5,samtools_phase/2.0.1
2021-08,4539,113,gffcompare/0.11.2
2021-08,4520,326,cshl_fasta_nucleotides_changer/1.0.2
2021-08,4466,168,ggplot2_pca/2.2.1
2021-08,4449,289,snpeff_sars_cov_2/4.5covid19
2021-08,4312,89,fastq_filter/1.1.1
2021-08,4250,98,qualimap_bamqc/2.2.2d+galaxy1
2021-08,4170,34,gops_merge_1/1.0.0
2021-08,4168,43,scanpy_inspect/1.7.1+galaxy0
2021-08,4122,163,Extract genomic DNA 1/3.0.3+galaxy2
2021-08,4097,466,tabular_to_csv/tabular_to_csv
2021-08,4097,101,annotatemyids/3.12.0+galaxy1
2021-08,4086,172,mothur_unique_seqs/1.39.5.0
2021-08,4081,10,picard_DownsampleSam/2.18.2.1
2021-08,4071,346,bcftools_consensus/1.10+galaxy1
2021-08,4070,85,bed2gff1/bed2gff1
2021-08,4024,4,fastq_paired_end_joiner/2.0.1.1
2021-08,4003,58,gops_concat_1/1.0.1
2021-08,3978,311,cat1/cat1
2021-08,3956,105,jbrowse/1.16.11+galaxy1
2021-08,3915,10,bwa_wrapper/1.2.3
2021-08,3891,440,samtools_idxstats/2.0.3
2021-08,3858,384,Add_a_column1/1.6
2021-08,3772,43,scanpy_cluster_reduce_dimension/1.7.1+galaxy0
2021-08,3768,1,cuffquant/2.2.1.1
2021-08,3728,2,picard_MarkDuplicates/2.7.1.1
2021-08,3694,452,lofreq_filter/2.1.5+galaxy0
2021-08,3660,73,seqtk_mergepe/1.3.1
2021-08,3626,161,trimmer/trimmer
2021-08,3611,33,circgraph/0.9-RC2
2021-08,3542,5,samtools_sort/2.0.1
2021-08,3512,115,bedtools_genomecoveragebed/2.29.0
2021-08,3444,346,bedtools_sortbed/2.30.0
2021-08,3435,23,mothur_merge_files/1.39.5.0
2021-08,3425,4,vcfannotategenotypes/1.0.0_rc3+galaxy0
2021-08,3413,368,hhsearch/3.2.0+galaxy0
2021-08,3333,101,kraken-report/1.3.1
2021-08,3327,291,collection_column_join/0.0.3
2021-08,3272,5,tetyper/1.1+galaxy1
2021-08,3248,358,samtools_markdup/1.9+galaxy3
2021-08,3242,7,cshl_fastq_quality_filter/1.0.0
2021-08,3183,92,kraken-translate/1.3.1
2021-08,3179,105,kraken-filter/1.3.1
2021-08,3163,36,ruvseq/1.16.0+galaxy1
2021-08,3123,387,fasta_filter_by_length/1.1
2021-08,3111,6,EMBOSS: palindrome65/5.0.0.1
2021-08,3072,65,fastq_paired_end_joiner/2.0.1.0
2021-08,3049,5,exomedepth/1.1.0
2021-08,3009,78,dada2_makeSequenceTable/1.18+galaxy0
2021-08,2990,46,mummer_dnadiff/4.0.0beta2+galaxy1
2021-08,2948,26,table_annovar/0.1
2021-08,2944,203,tp_multijoin_tool/1.1.1
2021-08,2913,259,allele_counts_1/1.3.2
2021-08,2887,146,ncbi_acc_download/0.2.5+galaxy0
2021-08,2845,3,pretext_map/0.1.6+galaxy0
2021-08,2802,19,macs2_callpeak/2.1.1.20160309.0
2021-08,2752,190,tp_sort_header_tool/1.1.1
