month_year,numusers,tool_name,tool_version
 2020-1     ,178,edger,3.24.1+galaxy1                                                                            
 2020-1     ,178,stringtie,1.3.6                                                                             
 2020-1     ,175,cufflinks,2.2.1.2                                                                       
 2020-1     ,174,bowtie_wrapper,1.2.0                                                              
 2020-1     ,171,samtools_flagstat,2.0.3                                                         
 2020-1     ,169,picard_MarkDuplicates,2.18.2.2                                                             
 2020-1     ,145, CONVERTER_interval_to_bed_0                                                                                                            , CONVERTER_interval_to_bed_0                                                                                                            
 2020-1     ,141, CONVERTER_bam_to_coodinate_sorted_bam                                                                                                  , CONVERTER_bam_to_coodinate_sorted_bam                                                                                                  
 2020-1     ,140,samtool_filter2,1.8+galaxy1                                                       
 2020-1     ,136,cutadapt,1.16.6                                                                         
 2020-1     ,134, CONVERTER_interval_to_bedstrict_0                                                                                                      , CONVERTER_interval_to_bedstrict_0                                                                                                      
 2020-1     ,130,bam_to_sam,2.0.1                                                                       
 2020-1     ,129,bamFilter,2.4.1                                                                   
 2020-1     ,127,tp_head_tool,1.1.0                                                              
 2020-1     ,123,prokka,1.13
 2020-1     ,122,peakcalling_macs,1.0.1                                                                       
 2020-1     ,121,trinity_psc,0.0.1                                                                        
 2020-1     ,120,tp_cat,0.1.0                                                                    
 2020-1     ,119,tp_sort_header_tool,1.1.1                                                       
 2020-1     ,118,cshl_fastq_quality_filter,1.0.2                                              
 2020-1     ,118,cuffdiff,2.2.1.5                                                                         
 2020-1     ,117,bwa_wrapper,1.2.3                                                                    
 2020-1     ,117, CONVERTER_fastq_to_fqtoc0                                                                                                              , CONVERTER_fastq_to_fqtoc0                                                                                                              
 2020-1     ,115,fastp,0.19.5+galaxy1                                                                            
 2020-1     ,110,snpEff,4.3+T.galaxy1                                                                           
 2020-1     ,109,gops_intersect_1,1.0.0                                                                  
 2020-1     ,106,fastq_to_fasta_python,1.1.1                                                          
 2020-1     ,106,deeptools_compute_matrix,3.3.0.0.0                                     
 2020-1     ,106, cat1                                                                                                                                   , cat1                                                                                                                                   
 2020-1     ,102,fastq_stats,1.1.1                                                                     
 2020-1     ,102, CONVERTER_fasta_to_tabular                                                                                                             , CONVERTER_fasta_to_tabular                                                                                                             
 2020-1     ,102,bedtools_intersectbed,2.29.0                                                                 
 2020-1     ,97,annotatemyids,3.7.0+galaxy1                                                             
 2020-1     ,95,vcffilter2,1.0.0_rc1+galaxy3                                                            
 2020-1     ,94,Add_a_column1,1.2.0                                                                  
 2020-1     ,94,deeptools_plot_heatmap,3.3.0.0.1                                         
 2020-1     ,93, CONVERTER_bed_gff_or_vcf_to_bigwig_0                                                                                                   , CONVERTER_bed_gff_or_vcf_to_bigwig_0                                                                                                   
 2020-1     ,92,cuffmerge,2.2.1.1                                                                       
 2020-1     ,92,samtools_rmdup,2.0.1                                                               
 2020-1     ,91, wig_to_bigWig                                                                                                                          , wig_to_bigWig                                                                                                                          
 2020-1     ,90,quast,5.0.2+galaxy0                                                                             
 2020-1     ,89, comp1                                                                                                                                  , comp1                                                                                                                                  
 2020-1     ,89, __EXPORT_HISTORY__                                                                                                                     , __EXPORT_HISTORY__                                                                                                                     
 2020-1     ,89,fasta2tab,1.1.0                                                                  
 2020-1     ,88,table_annovar,0.2
 2020-1     ,87,samtools_sort,2.0.3                                                                 
 2020-1     ,87,collection_column_join,0.0.3                                                   
 2020-1     ,85,kraken,1.3.0                                                                               
 2020-1     ,85,tab2fasta,1.1.0                                                                  
 2020-1     ,84,sam_to_bam,2.1.1                                                                       
 2020-1     ,82,ggplot2_heatmap2,3.0.1                                                               
 2020-1     ,81,limma_voom,3.38.3+galaxy3                                                                  
 2020-1     ,81, CONVERTER_vcf_bgzip_to_tabix_0                                                                                                         , CONVERTER_vcf_bgzip_to_tabix_0                                                                                                         
 2020-1     ,80, CONVERTER_vcf_to_vcf_bgzip_0                                                                                                           , CONVERTER_vcf_to_vcf_bgzip_0                                                                                                           
 2020-1     ,80,sra_pileup,2.10.3                                                                           
 2020-1     ,79,samtools_stats,2.0.2+galaxy2                                                       
 2020-1     ,79, Convert characters1                                                                                                                    , Convert characters1                                                                                                                    
 2020-1     ,79,charts,1.0.1                                                                                   
 2020-1     ,78,stringtie_merge,1.3.6                                                                       
 2020-1     ,77, Show beginning1                                                                                                                        , Show beginning1                                                                                                                        
 2020-1     ,76,samtools_mpileup,2.1.4                                                           
 2020-1     ,74,taxonomy_krona_chart,2.6.1.1                                                    
 2020-1     ,74, tabular_to_csv                                                                                                                         , tabular_to_csv                                                                                                                         
 2020-1     ,73,picard_MergeSamFiles,2.18.2.1                                                              
 2020-1     ,73,samtools_idxstats,2.0.3                                                         
 2020-1     ,73, CONVERTER_interval_to_bed12_0                                                                                                          , CONVERTER_interval_to_bed12_0                                                                                                          
 2020-1     ,72,deeptools_plot_correlation,3.3.0.0.0                                 
 2020-1     ,70,bedtools_bamtobed,2.29.0                                                                     
 2020-1     ,70,sam_merge2,1.2.0                                                                        
 2020-1     ,70,prokka,1.14.5                                                                                 
 2020-1     ,69, CONVERTER_fasta_to_fai                                                                                                                 , CONVERTER_fasta_to_fai                                                                                                                 
 2020-1     ,69,snpEff_download,4.3+T.galaxy2                                                                  
 2020-1     ,69, Grep1                                                                                                                                  , Grep1                                                                                                                                  
 2020-1     ,68,salmon,0.14.1.2                                                                          
 2020-1     ,68,cshl_fastx_trimmer,1.0.2                                                            
 2020-1     ,67, csv_to_tabular                                                                                                                         , csv_to_tabular                                                                                                                         
 2020-1     ,65,deeptools_multi_bam_summary,3.3.0.0.0                               
 2020-1     ,65,fastq_filter,1.1.1                                                                   
 2020-1     ,62,bedtools_genomecoveragebed,2.29.0                                                            
 2020-1     ,62,varscan,2.4.2                                                                   
 2020-1     ,62,fastq_trimmer,1.1.1                                                                 
 2020-1     ,61, Extract genomic DNA 1                                                                                                                  , Extract genomic DNA 1                                                                                                                  
 2020-1     ,61,tp_easyjoin_tool,1.1.1                                                          
 2020-1     ,59,mothur_summary_seqs,1.39.5.0                                                      
 2020-1     ,58,ncbi_blastn_wrapper,0.3.3                                                         
 2020-1     ,58,bamtools,2.4.0                                                                           
 2020-1     ,58,sam_dump,2.10.4                                                                             
 2020-1     ,58,picard_AddOrReplaceReadGroups,2.18.2.1                                                     
 2020-1     ,57,mothur_unique_seqs,1.39.5.0                                                        
 2020-1     ,57,mothur_make_contigs,1.39.5.0                                                      
 2020-1     ,57,cshl_fastq_to_fasta,1.0.2                                                          
 2020-1     ,55,mothur_screen_seqs,1.39.5.0                                                        
 2020-1     ,54,EMBOSS: transeq101,5.0.0                                                                 
 2020-1     ,53,Kraken2Tax,1.2
 2020-1     ,52,featurecounts,1.6.3+galaxy2                                                             
 2020-1     ,52,diffbind,2.10.0                                                                        
 2020-1     ,52, CONVERTER_gff_to_bed_0                                                                                                                 , CONVERTER_gff_to_bed_0                                                                                                                 
 2020-1     ,51,mothur_align_seqs,1.39.5.0                                                          
 2020-1     ,51, CONVERTER_fasta_to_len                                                                                                                 , CONVERTER_fasta_to_len                                                                                                                 
 2020-1     ,50, gff2bed1                                                                                                                               , gff2bed1                                                                                                                               
 2020-1     ,50, Remove beginning1                                                                                                                      , Remove beginning1                                                                                                                      
 2020-1     ,50, CONVERTER_len_to_linecount                                                                                                             , CONVERTER_len_to_linecount                                                                                                             
 2020-1     ,49,cshl_fastx_quality_statistics,1.0.1                                      
 2020-1     ,49,collapse_dataset,4.1
 2020-1     ,49,deeptools_plot_profile,3.3.0.0.0                                         
 2020-1     ,48,cshl_fastq_quality_boxplot,1.0.1                                            
 2020-1     ,48,sam_to_bam,2.1
 2020-1     ,48,tp_tail_tool,1.1.0                                                              
 2020-1     ,47,deeptools_bam_compare,3.3.0.0.0                                           
 2020-1     ,47,clustalw,2.1
 2020-1     ,47,mothur_count_seqs,1.39.5.0                                                          
 2020-1     ,45,chipseeker,1.18.0+galaxy1                                                              
 2020-1     ,45,tp_multijoin_tool,1.1.1                                                         
 2020-1     ,44,tp_replace_in_column,1.1.3                                                      
 2020-1     ,44, CONVERTER_bed_to_gff_0                                                                                                                 , CONVERTER_bed_to_gff_0                                                                                                                 
 2020-1     ,44,ncbi_blastp_wrapper,0.3.3                                                         
 2020-1     ,43,rseqc_infer_experiment,2.6.4.1                                                               
 2020-1     ,43,samtools_fastx,1.9+galaxy1                                                             
 2020-1     ,43,gatk_unified_genotyper,0.0.6                                                    
 2020-1     ,43,Extract genomic DNA 1,3.0.3                                                       
 2020-1     ,42,tp_sorted_uniq,1.1.0                                                            
 2020-1     ,42,tp_awk_tool,1.1.1                                                               
 2020-1     ,42,bedtools_sortbed,2.29.0                                                                      
 2020-1     ,41,vcfallelicprimitives,1.0.0_rc1+galaxy0                                       
 2020-1     ,40,fasta_filter_by_length,1.1
 2020-1     ,40,bedtools_getfastabed,2.29.0                                                                  
 2020-1     ,39,tp_grep_tool,1.1.1                                                              
 2020-1     ,39,tp_find_and_replace,1.1.2                                                       
 2020-1     ,39,picard_CleanSam,2.18.2.1                                                                   
 2020-1     ,39,mothur_filter_seqs,1.39.5.0                                                        
 2020-1     ,39, CONVERTER_bedgraph_to_bigwig                                                                                                           , CONVERTER_bedgraph_to_bigwig                                                                                                           
 2020-1     ,39,picard_CollectInsertSizeMetrics,2.18.2.1                                                   
 2020-1     ,38,ncbi_makeblastdb,0.3.3                                                            
 2020-1     ,38,fastq_quality_trimmer,1.1.1                                              
 2020-1     ,38,deeptools_multi_bigwig_summary,3.3.0.0.0                         
 2020-1     ,37,bcftools_norm,1.9+galaxy1                                                               
 2020-1     ,37,fastq_paired_end_joiner,2.0.1.1                                           
 2020-1     ,37,deeptools_plot_fingerprint,3.3.0.0.0                                 
 2020-1     ,36,bedtools_mergebed,2.29.0                                                                     
 2020-1     ,36,bcftools_plugin_counts,1.9+galaxy1                                             
 2020-1     ,36,goseq,1.36.0+galaxy0                                                                            
 2020-1     ,36,get_flanks1,1.0.0                                                                      
 2020-1     ,36,sam_pileup,1.1.2                                                                       
 2020-1     ,36,snpEff_databases,4.3+T.galaxy2                                                                 
 2020-1     ,35,mothur_classify_seqs,1.39.5.0                                                    
 2020-1     ,35, CONVERTER_bed_to_bgzip_0                                                                                                               , CONVERTER_bed_to_bgzip_0                                                                                                               
 2020-1     ,34,bcftools_call,1.9+galaxy1                                                               
 2020-1     ,34,samtools_view,1.9
 2020-1     ,34,mothur_pre_cluster,1.39.5.0                                                        
 2020-1     ,34,bcftools_mpileup,1.9+galaxy2                                                         
 2020-1     ,34, CONVERTER_bed_to_fli_0                                                                                                                 , CONVERTER_bed_to_fli_0                                                                                                                 
 2020-1     ,34, addValue                                                                                                                               , addValue                                                                                                                               
 2020-1     ,33,vcf2tsv,1.0.0_rc1+galaxy0                                                                 
 2020-1     ,33,fastq_join,1.1.2-806.1                                                                
 2020-1     ,33,macs2_predictd,2.1.1.20160309.1                                                                 
 2020-1     ,32, CONVERTER_ref_to_seq_taxomony                                                                                                          , CONVERTER_ref_to_seq_taxomony                                                                                                          
 2020-1     ,31, mergeCols1                                                                                                                             , mergeCols1                                                                                                                             
 2020-1     ,30,cshl_fastx_barcode_splitter,1.0.1                                          
 2020-1     ,30,naive_variant_caller,0.0.4                                               
 2020-1     ,30,gffread,2.2.1.2                                                                           
 2020-1     ,30, CONVERTER_bed_to_tabix_0                                                                                                               , CONVERTER_bed_to_tabix_0                                                                                                               
 2020-1     ,30,datamash_ops,1.1.0                                                                       
 2020-1     ,30,kallisto_quant,0.46.0.4                                                                
 2020-1     ,29,tp_replace_in_line,1.1.2                                                        
 2020-1     ,29,mothur_chimera_vsearch,1.39.5.1                                                
 2020-1     ,29,rbc_mafft,7.221.3                                                                           
 2020-1     ,29,deeptools_plot_pca,3.3.0.0.0                                                 
 2020-1     ,29,gops_subtract_1,1.0.0                                                                    
 2020-1     ,29,ncbi_acc_download,0.2.5+galaxy0                                                     
 2020-1     ,28,bamleftalign,1.1.0.46-0                                                                 
 2020-1     ,28,mothur_make_shared,1.39.5.0                                                        
 2020-1     ,28,samtools_merge,1.9
 2020-1     ,27, Summary_Statistics1                                                                                                                    , Summary_Statistics1                                                                                                                    
 2020-1     ,27,tp_sed_tool,1.1.1                                                               
 2020-1     ,27,sam_bw_filter,1.0.0                                                       
 2020-1     ,27,dexseq_count,1.28.1.0                                                                          
 2020-1     ,27,deeptools_bigwig_compare,3.3.0.0.0                                     
 2020-1     ,27,fasta_compute_length,1.0.2                                                   
 2020-1     ,27,gffcompare,0.11.2                                                                          
 2020-1     ,26,bedtools_multiintersectbed,2.29.0                                                            
 2020-1     ,26,mothur_cluster_split,1.39.5.0                                                    
 2020-1     ,26,lofreq_call,2.1.3.1+galaxy0                                                               
 2020-1     ,26,ncbi_blastx_wrapper,0.3.3                                                         
 2020-1     ,26,snpSift_extractFields,4.3+t.galaxy0                                                           
 2020-1     ,26, __DATA_FETCH__                                                                                                                         , __DATA_FETCH__                                                                                                                         
 2020-1     ,26, bed2gff1                                                                                                                               , bed2gff1                                                                                                                               
 2020-1     ,25,mothur_remove_seqs,1.39.5.0                                                        
 2020-1     ,25,cshl_fastx_reverse_complement,1.0.2                                      
 2020-1     ,25, CONVERTER_fasta_to_2bit                                                                                                                , CONVERTER_fasta_to_2bit                                                                                                                
 2020-1     ,25,mothur_classify_otu,1.39.5.0                                                      
 2020-1     ,25,rseqc_bam_stat,2.6.4                                                                         
 2020-1     ,25,samtools_depth,1.9
 2020-1     ,25,gops_merge_1,1.0.0                                                                          
 2020-1     ,24,kraken-report,1.2.4                                                                 
 2020-1     ,24,mothur_remove_lineage,1.39.5.0                                                  
 2020-1     ,24, trimmer                                                                                                                                , trimmer                                                                                                                                
 2020-1     ,24,table_annovar,0.1
 2020-1     ,23,picard_SortSam,2.18.2.1                                                                    
 2020-1     ,23,fastq_groomer,1.0.4                                                                 
 2020-1     ,23,gatk_realigner_target_creator,0.0.4                                      
 2020-1     ,23,snpSift_filter,4.3+t.galaxy0                                                                  
 2020-1     ,23, CONVERTER_gff_to_fli_0                                                                                                                 , CONVERTER_gff_to_fli_0                                                                                                                 
 2020-1     ,23, CONVERTER_gff_to_interval_index_0                                                                                                      , CONVERTER_gff_to_interval_index_0                                                                                                      
 2020-1     ,22, Paste1                                                                                                                                 , Paste1                                                                                                                                 
 2020-1     ,22,mothur_count_groups,1.39.5.0                                                      
 2020-1     ,22,picard_SamToFastq,2.18.2.1                                                                 
 2020-1     ,22,snpEff_build_gb,4.3+T.galaxy4                                                                  
 2020-1     ,22,kraken-translate,1.2.3                                                           
 2020-1     ,22,lastz_wrapper_2,1.3.2                                                                       
 2020-1     ,21,bedtools_closestbed,2.29.0                                                                   
 2020-1     ,21,meme_meme,4.12.0.0                                                                          
 2020-1     ,21,fastq_to_tabular,1.1.1                                                           
 2020-1     ,21,samtools_split,1.9
 2020-1     ,21,XY_Plot_1,1.0.2                                                                           
 2020-1     ,21,snpsift_vartype,4.3+t.galaxy0                                                                 
 2020-1     ,20,bedtools_multicovtbed,2.29.0                                                                 
 2020-1     ,20,snippy,4.4.5+galaxy1                                                                           
 2020-1     ,20,vcfcombine,1.0.0_rc1+galaxy0                                                           
 2020-1     ,20, wc_gnu                                                                                                                                 , wc_gnu                                                                                                                                 
 2020-1     ,20,cshl_fastx_clipper,1.0.3                                                            
 2020-1     ,20,ngsutils_bam_filter,0.5.9                                                         
 2020-1     ,20,cshl_fastx_collapser,1.0.1                                                        
 2020-1     ,20,bowtie2,2.3.4.2                                                                           
 2020-1     ,20,heatmap_1,1.0.0                                                                       
 2020-1     ,20, liftOver1                                                                                                                              , liftOver1                                                                                                                              
 2020-1     ,20,bedtools_subtractbed,2.29.0                                                                  
 2020-1     ,19,fastqc,0.72
 2020-1     ,19,rseqc_FPKM_count,2.6.4.1                                                                     
 2020-1     ,19,gatk_indel_realigner,0.0.6                                                        
 2020-1     ,19,gatk_depth_of_coverage,0.0.2                                                    
 2020-1     ,19,deseq2,2.11.40.2                                                                               
 2020-1     ,19,picard_CASM,2.18.2.1                                                                       
 2020-1     ,19,rseqc_geneBody_coverage,2.6.4.3                                                              
 2020-1     ,18,bg_diamond_makedb,0.9.21                                                                
 2020-1     ,18,fastq_manipulation,1.1.1                                                       
 2020-1     ,18,mothur_rarefaction_single,1.39.5.0                                          
 2020-1     ,18,vcfvcfintersect,1.0.0_rc1+galaxy0                                                 
 2020-1     ,18,snippy,4.4.5+galaxy0                                                                           
 2020-1     ,18,fastq_paired_end_deinterlacer,1.1.2                                 
 2020-1     ,18, CONVERTER_vcf_to_bgzip_0                                                                                                               , CONVERTER_vcf_to_bgzip_0                                                                                                               
 2020-1     ,18,cshl_fasta_formatter,1.0.1                                                        
 2020-1     ,18,bcftools_merge,1.9+galaxy1                                                             
 2020-1     ,18,mothur_taxonomy_to_krona,1
 2020-1     ,18,picard_ARRG,1.56.0                                                                         
 2020-1     ,18,mothur_sub_sample,1.39.5.0                                                          
 2020-1     ,18,bedtools_annotatebed,2.29.0                                                                  
 2020-1     ,17,dexseq,1.28.1+galaxy1                                                                          
 2020-1     ,17,fastq_paired_end_interlacer,1.2.0.1                                   
 2020-1     ,17,hisat2,2.1.0+galaxy4                                                                           
 2020-1     ,17,mothur_summary_single,1.39.5.0                                                  
 2020-1     ,17,bg_diamond,0.9.21.0                                                                     
 2020-1     ,17,circos,0.69.8+galaxy1                                                                          
 2020-1     ,17,megablast_wrapper,1.2.0                                                         
 2020-1     ,17,bedtools_coveragebed,2.22.1                                                                  
 2020-1     ,17,mothur_get_groups,1.39.5.0                                                          
 2020-1     ,17,trimmomatic,0.36.5                                                                   
 2020-1     ,16,meme_chip,4.11.2+galaxy1                                                                    
 2020-1     ,16,samtools_markdup,1.9+galaxy2                                                         
 2020-1     ,16,fasta-stats,1.0.1                                                                         
 2020-1     ,16,pileup_parser,1.0.2                                                                 
 2020-1     ,16,mothur_make_biom,1.39.5.0                                                            
 2020-1     ,16, Extract_features1                                                                                                                      , Extract_features1                                                                                                                      
 2020-1     ,16,samtools_bedcov,2.0.2                                                             
 2020-1     ,16,picard_FastqToSam,2.18.2.1                                                                 
 2020-1     ,16,trim_galore,0.4.3.1                                                                 
 2020-1     ,16,snpSift_annotate,4.3+t.galaxy1                                                                
 2020-1     ,16,picard_NormalizeFasta,2.18.2.1                                                             
 2020-1     ,16,histogram_rpy,1.0.3                                                                     
 2020-1     ,16,deeptools_plot_coverage,3.3.0.0.0                                       
 2020-1     ,15,rseqc_read_distribution,2.6.4.1                                                              
 2020-1     ,15,rseqc_bam2wig,2.6.4                                                                          
 2020-1     ,15,tp_uniq_tool,1.1.1                                                              
 2020-1     ,15, Count1                                                                                                                                 , Count1                                                                                                                                 
 2020-1     ,15, CONVERTER_wig_to_bigwig                                                                                                                , CONVERTER_wig_to_bigwig                                                                                                                
 2020-1     ,15, CONVERTER_sam_to_bigwig_0                                                                                                              , CONVERTER_sam_to_bigwig_0                                                                                                              
 2020-1     ,15,picard_CollectRnaSeqMetrics,2.18.2.1                                                       
 2020-1     ,15,sam_to_bam,1.1.2                                                                       
 2020-1     ,15,build_ucsc_custom_track_1,1.0.0                                                 
 2020-1     ,15,mothur_dist_shared,1.39.5.0                                                        
 2020-1     ,15,mothur_dist_seqs,1.39.5.0                                                            
 2020-1     ,15,megahit,1.1.3.4                                                                               
 2020-1     ,14,bedtools_bamtofastq,2.27.1                                                                   
 2020-1     ,14, CONVERTER_vcf_to_tabix_0                                                                                                               , CONVERTER_vcf_to_tabix_0                                                                                                               
 2020-1     ,14,gatk_variant_select,0.0.3                                                          
 2020-1     ,14,EMBOSS: getorf42,5.0.0.1                                                                 
 2020-1     ,14, hgv_david                                                                                                                              , hgv_david                                                                                                                              
 2020-1     ,14,bcftools_consensus,1.9+galaxy2                                                     
 2020-1     ,14,rgweblogo3,3.5.0                                                                         
 2020-1     ,14,shovill,1.0.4+galaxy0                                                                         
 2020-1     ,14,cshl_fastx_nucleotides_distribution,1.0.1                          
 2020-1     ,14,fastq_paired_end_splitter,1.1.1                                         
 2020-1     ,14,bcftools_view,1.9+galaxy1                                                               
 2020-1     ,14,mothur_cluster,1.39.5.0                                                                
 2020-1     ,14,prinseq,0.20.4                                                                                
 2020-1     ,14,sailfish,0.10.1.1                                                                      
 2020-1     ,14,samtools_slice_bam,2.0.1                                                       
 2020-1     ,14,venn_list,0.1.1                                                                         
 2020-1     ,14,flash,1.2.11.4                                                                                  
 2020-1     ,14,mothur_remove_groups,1.39.5.0                                                    
 2020-1     ,14,picard_MarkDuplicates,2.18.2.1                                                             
 2020-1     ,13,mothur_heatmap_sim,1.39.5.0                                                        
 2020-1     ,13,kraken_taxonomy_report,0.0.2                                                   
 2020-1     ,13,tabular_to_fastq,1.1.1                                                           
