,tool_id,month_year,avg_cpu_time,tool_name,tool_version
51, toolshed.g2.bx.psu.edu/repos/iuc/spaln/spaln/2.4.03+galaxy0                                                                            , 2021-05 ,  155152276192880620.42702702702703,spaln,2.4.03+galaxy0                                                                            
52, toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa_mem/0.7.17.1                                                                              , 2021-05 ,  142317293412667993.06746532156368,bwa_mem,0.7.17.1                                                                              
53, toolshed.g2.bx.psu.edu/repos/greg/plant_tribes_assembly_post_processor/plant_tribes_assembly_post_processor/1.0.3.0                    , 2021-05 ,  139833800660008255.88888888888889,plant_tribes_assembly_post_processor,1.0.3.0                    
54, toolshed.g2.bx.psu.edu/repos/simon-gladman/velvetoptimiser/velvetoptimiser/2.2.6                                                       , 2021-05 ,  136941111454842673.09497206703911,velvetoptimiser,2.2.6                                                       
55, toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/1.3.1                                                                         , 2021-05 ,  126686491070135760.80538461538462,freebayes,1.3.1                                                                         
56, toolshed.g2.bx.psu.edu/repos/bgruening/augustus_training/augustus_training/3.3.3                                                       , 2021-05 ,  115960498136671833.08163265306122,augustus_training,3.3.3                                                       
57, toolshed.g2.bx.psu.edu/repos/iuc/mothur_cluster_split/mothur_cluster_split/1.39.5.0                                                    , 2021-05 ,  112283970868219918.85882352941176,mothur_cluster_split,1.39.5.0                                                    
58, toolshed.g2.bx.psu.edu/repos/iuc/hyphy_absrel/hyphy_absrel/2.5.31+galaxy1                                                              , 2021-05 ,  104775653498275362.50000000000000,hyphy_absrel,2.5.31+galaxy1                                                              
59, toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.1.0+galaxy4                                                                           , 2021-05 ,  103713448900310957.24000000000000,hisat2,2.1.0+galaxy4                                                                           
60, toolshed.g2.bx.psu.edu/repos/iuc/dexseq/dexseq/1.28.1+galaxy1                                                                          , 2021-05 ,  100568506094222493.74576271186441,dexseq,1.28.1+galaxy1                                                                          
61, toolshed.g2.bx.psu.edu/repos/iuc/meme_chip/meme_chip/4.11.2+galaxy1                                                                    , 2021-05 ,   94807927831087244.07017543859649,meme_chip,4.11.2+galaxy1                                                                    
62, toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fasterq_dump/2.10.9+galaxy0                                                                 , 2021-05 ,   94245507082963941.06784452296820,fasterq_dump,2.10.9+galaxy0                                                                 
63, toolshed.g2.bx.psu.edu/repos/iuc/idba_ud/idba_ud/1.1.3+galaxy1                                                                         , 2021-05 ,   94139000997356143.50000000000000,idba_ud,1.1.3+galaxy1                                                                         
64, toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.1.0+galaxy5                                                                           , 2021-05 ,   89007412346145045.61788617886179,hisat2,2.1.0+galaxy5                                                                           
65, toolshed.g2.bx.psu.edu/repos/bgruening/augustus/augustus/3.3.3                                                                         , 2021-05 ,   86194979911133554.04938271604938,augustus,3.3.3                                                                         
66, toolshed.g2.bx.psu.edu/repos/iuc/minimap2/minimap2/2.17+galaxy4                                                                        , 2021-05 ,   80382752678375566.38461538461538,minimap2,2.17+galaxy4                                                                        
67, toolshed.g2.bx.psu.edu/repos/iuc/bioext_bealign/bioext_bealign/0.19.7.0                                                                , 2021-05 ,   80093858144561175.62000000000000,bioext_bealign,0.19.7.0                                                                
68, toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_deinterlacer/fastq_paired_end_deinterlacer/1.1.5                                 , 2021-05 ,   79135063210555861.03344481605351,fastq_paired_end_deinterlacer,1.1.5                                 
69, toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/2.2.1.3                                                                       , 2021-05 ,   76675108613336653.75088028169014,cufflinks,2.2.1.3                                                                       
70, toolshed.g2.bx.psu.edu/repos/iuc/lofreq_call/lofreq_call/2.1.5+galaxy1                                                                 , 2021-05 ,   74857167020423557.52403343782654,lofreq_call,2.1.5+galaxy1                                                                 
71, __EXPORT_HISTORY__                                                                                                                     , 2021-05 ,   72870413695314253.61855670103093, __EXPORT_HISTORY__                                                                                                                     , __EXPORT_HISTORY__                                                                                                                     
72, toolshed.g2.bx.psu.edu/repos/iuc/dexseq/dexseq_count/1.28.1.0                                                                          , 2021-05 ,   72653817052541024.94000000000000,dexseq_count,1.28.1.0                                                                          
73, toolshed.g2.bx.psu.edu/repos/devteam/fastq_trimmer_by_quality/fastq_quality_trimmer/1.1.5                                              , 2021-05 ,   71694425315999392.97385620915033,fastq_quality_trimmer,1.1.5                                              
74, toolshed.g2.bx.psu.edu/repos/iuc/vsearch/vsearch_chimera_detection/1.9.7.0                                                             , 2021-05 ,   71330433561473586.69444444444444,vsearch_chimera_detection,1.9.7.0                                                             
75, toolshed.g2.bx.psu.edu/repos/iuc/unicycler/unicycler/0.4.6.0                                                                           , 2021-05 ,   66741893194881528.87500000000000,unicycler,0.4.6.0                                                                           
76, toolshed.g2.bx.psu.edu/repos/iuc/fastqe/fastqe/0.2.6+galaxy1                                                                           , 2021-05 ,   65003190299416237.76363636363636,fastqe,0.2.6+galaxy1                                                                           
77, toolshed.g2.bx.psu.edu/repos/devteam/kernel_principal_component_analysis/kpca1/1.0.0                                                   , 2021-05 ,   63848942862118806.33333333333333,kpca1,1.0.0                                                   
78, toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.3.4.1                                                                           , 2021-05 ,   63036967774864441.40000000000000,bowtie2,2.3.4.1                                                                           
79, toolshed.g2.bx.psu.edu/repos/iuc/porechop/porechop/0.2.3                                                                               , 2021-05 ,   62238376365091126.93396226415094,porechop,0.2.3                                                                               
80, toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_splitter/fastq_paired_end_splitter/1.1.5                                         , 2021-05 ,   61886052971774435.47325102880658,fastq_paired_end_splitter,1.1.5                                         
81, __EXPORT_HISTORY_TO_URI__                                                                                                              , 2021-05 ,   57054238063372999.42105263157895, __EXPORT_HISTORY_TO_URI__                                                                                                              , __EXPORT_HISTORY_TO_URI__                                                                                                              
82, toolshed.g2.bx.psu.edu/repos/blankenberg/naive_variant_caller/naive_variant_caller/0.0.4                                               , 2021-05 ,   56653466883546803.43023255813953,naive_variant_caller,0.0.4                                               
83, toolshed.g2.bx.psu.edu/repos/iuc/shovill/shovill/1.1.0+galaxy0                                                                         , 2021-05 ,   55891547276040972.92446043165468,shovill,1.1.0+galaxy0                                                                         
84, toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_fingerprint/deeptools_plot_fingerprint/3.3.2.0.0                                 , 2021-05 ,   54876940403895882.23170731707317,deeptools_plot_fingerprint,3.3.2.0.0                                 
85, toolshed.g2.bx.psu.edu/repos/devteam/fastq_stats/fastq_stats/1.1.5                                                                     , 2021-05 ,   54383660390824090.70930232558140,fastq_stats,1.1.5                                                                     
86, toolshed.g2.bx.psu.edu/repos/crs4/prokka/prokka/1.14.5+galaxy0                                                                         , 2021-05 ,   53272313508150486.88916378030678,prokka,1.14.5+galaxy0                                                                         
87, toolshed.g2.bx.psu.edu/repos/devteam/fastq_groomer/fastq_groomer/1.1.5                                                                 , 2021-05 ,   51042857984035213.56954314720812,fastq_groomer,1.1.5                                                                 
88, toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_joiner/fastq_paired_end_joiner/2.0.1.1+galaxy0                                   , 2021-05 ,   50971993968499099.17283950617284,fastq_paired_end_joiner,2.0.1.1+galaxy0                                   
89, toolshed.g2.bx.psu.edu/repos/devteam/ncbi_blast_plus/ncbi_blastn_wrapper/2.10.1+galaxy0                                                , 2021-05 ,   50123408241783714.87992750339828,ncbi_blastn_wrapper,2.10.1+galaxy0                                                
90, CONVERTER_bam_to_qname_sorted_bam                                                                                                      , 2021-05 ,   50058215486302715.66666666666667, CONVERTER_bam_to_qname_sorted_bam                                                                                                      , CONVERTER_bam_to_qname_sorted_bam                                                                                                      
91, toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fasterq_dump/2.10.8+galaxy0                                                                 , 2021-05 ,   48764634122869493.50000000000000,fasterq_dump,2.10.8+galaxy0                                                                 
92, toolshed.g2.bx.psu.edu/repos/devteam/clustalw/clustalw/2.1                                                                             , 2021-05 ,   48077900135996213.41188318227593,clustalw,2.1                                                                             
93, toolshed.g2.bx.psu.edu/repos/devteam/fastq_groomer/fastq_groomer/1.0.4                                                                 , 2021-05 ,   47613511626766658.30000000000000,fastq_groomer,1.0.4                                                                 
94, toolshed.g2.bx.psu.edu/repos/iuc/rgrnastar/rna_star/2.7.5b                                                                             , 2021-05 ,   46504941183775982.70270270270270,rna_star,2.7.5b                                                                             
95, toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.10.9+galaxy0                                                                   , 2021-05 ,   46145059364009035.90799882801055,fastq_dump,2.10.9+galaxy0                                                                   
96, toolshed.g2.bx.psu.edu/repos/iuc/hyphy_fade/hyphy_fade/2.5.31+galaxy1                                                                  , 2021-05 ,   43989634956470614.50000000000000,hyphy_fade,2.5.31+galaxy1                                                                  
97, toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.3.4.3+galaxy0                                                                   , 2021-05 ,   43154893771200717.33414634146341,bowtie2,2.3.4.3+galaxy0                                                                   
98, toolshed.g2.bx.psu.edu/repos/devteam/fastq_filter/fastq_filter/1.1.5                                                                   , 2021-05 ,   42806725568786689.10104529616725,fastq_filter,1.1.5                                                                   
99, toolshed.g2.bx.psu.edu/repos/iuc/shovill/shovill/1.0.4+galaxy1                                                                         , 2021-05 ,   41130077003773089.76000000000000,shovill,1.0.4+galaxy1                                                                         
100, toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/1.1.0.46-0                                                                    , 2021-05 ,   40473836085792196.40909090909091,freebayes,1.1.0.46-0                                                                    
101, toolshed.g2.bx.psu.edu/repos/iuc/egsea/egsea/1.10.0                                                                                    , 2021-05 ,   40252317569514339.15625000000000,egsea,1.10.0                                                                                    
102, toolshed.g2.bx.psu.edu/repos/lparsons/htseq_count/htseq_count/0.9.1                                                                    , 2021-05 ,   38622308434325369.02715255448374,htseq_count,0.9.1                                                                    
103, toolshed.g2.bx.psu.edu/repos/devteam/bwa/bwa/0.7.12.1                                                                                  , 2021-05 ,   37150487130197529.33333333333333,bwa,0.7.12.1                                                                                  
104, toolshed.g2.bx.psu.edu/repos/iuc/varscan_somatic/varscan_somatic/2.4.3.6                                                               , 2021-05 ,   36974833894413662.22222222222222,varscan_somatic,2.4.3.6                                                               
105, toolshed.g2.bx.psu.edu/repos/devteam/cuffdiff/cuffdiff/2.2.1.3                                                                         , 2021-05 ,   35613197285022522.77777777777778,cuffdiff,2.2.1.3                                                                         
106, toolshed.g2.bx.psu.edu/repos/iuc/dada2_learnerrors/dada2_learnErrors/1.18+galaxy0                                                      , 2021-05 ,   35458864366430012.20000000000000,dada2_learnErrors,1.18+galaxy0                                                      
107, toolshed.g2.bx.psu.edu/repos/devteam/fastx_clipper/cshl_fastx_clipper/1.0.1                                                            , 2021-05 ,   35155464855141243.00000000000000,cshl_fastx_clipper,1.0.1                                                            
108, toolshed.g2.bx.psu.edu/repos/iuc/quast/quast/5.0.2+galaxy1                                                                             , 2021-05 ,   32477003256599264.74452554744526,quast,5.0.2+galaxy1                                                                             
109, toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/2.3.4.3                                                                           , 2021-05 ,   32352234810205482.33333333333333,bowtie2,2.3.4.3                                                                           
110, toolshed.g2.bx.psu.edu/repos/iuc/mothur_seq_error/mothur_seq_error/1.39.5.0                                                            , 2021-05 ,   31544017944180488.75000000000000,mothur_seq_error,1.39.5.0                                                            
111, toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.1.0+galaxy7                                                                           , 2021-05 ,   30496911353177655.16578969347699,hisat2,2.1.0+galaxy7                                                                           
112, toolshed.g2.bx.psu.edu/repos/iuc/volcanoplot/volcanoplot/0.0.3                                                                         , 2021-05 ,   29538438724589690.45056179775281,volcanoplot,0.0.3                                                                         
113, toolshed.g2.bx.psu.edu/repos/devteam/join/gops_join_1/1.0.0                                                                            , 2021-05 ,   28605956431141915.94602012808783,gops_join_1,1.0.0                                                                            
114, toolshed.g2.bx.psu.edu/repos/devteam/fastq_trimmer_by_quality/fastq_quality_trimmer/1.0.0                                              , 2021-05 ,   28391610301315740.00000000000000,fastq_quality_trimmer,1.0.0                                              
115, toolshed.g2.bx.psu.edu/repos/iuc/pizzly/pizzly/0.37.3.1                                                                                , 2021-05 ,   26618343951141582.66666666666667,pizzly,0.37.3.1                                                                                
116, toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.10.8+galaxy0                                                                   , 2021-05 ,   26254769133256497.93333333333333,fastq_dump,2.10.8+galaxy0                                                                   
117, toolshed.g2.bx.psu.edu/repos/iuc/progressivemauve/progressivemauve/2015_02_13.0                                                        , 2021-05 ,   26154554437674686.29729729729730,progressivemauve,2015_02_13.0                                                        
118, toolshed.g2.bx.psu.edu/repos/iuc/seqtk/seqtk_dropse/1.3.1                                                                              , 2021-05 ,   25629234414377836.50000000000000,seqtk_dropse,1.3.1                                                                              
119, toolshed.g2.bx.psu.edu/repos/devteam/samtools_mpileup/samtools_mpileup/2.1.4                                                           , 2021-05 ,   24061548808847585.42727272727273,samtools_mpileup,2.1.4                                                           
120, toolshed.g2.bx.psu.edu/repos/bgruening/split_file_to_collection/split_file_to_collection/0.5.0                                         , 2021-05 ,   23985404793839697.07258064516129,split_file_to_collection,0.5.0                                         
121, toolshed.g2.bx.psu.edu/repos/bgruening/trim_galore/trim_galore/0.6.3                                                                   , 2021-05 ,   23347808805757172.77139484556364,trim_galore,0.6.3                                                                   
122, toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FixMateInformation/2.18.2.1                                                         , 2021-05 ,   22022206257223323.00000000000000,picard_FixMateInformation,2.18.2.1                                                         
123, toolshed.g2.bx.psu.edu/repos/iuc/mothur_classify_seqs/mothur_classify_seqs/1.39.5.0                                                    , 2021-05 ,   21635583046892011.21495327102804,mothur_classify_seqs,1.39.5.0                                                    
124, toolshed.g2.bx.psu.edu/repos/iuc/fargene/fargene/0.1+galaxy1                                                                           , 2021-05 ,   20703672196468181.80000000000000,fargene,0.1+galaxy1                                                                           
125, toolshed.g2.bx.psu.edu/repos/iuc/idba_tran/idba_tran/1.1.3+galaxy0                                                                     , 2021-05 ,   20535082470306768.00000000000000,idba_tran,1.1.3+galaxy0                                                                     
126, toolshed.g2.bx.psu.edu/repos/iuc/scpipe/scpipe/1.0.0+galaxy2                                                                           , 2021-05 ,   20410566699553444.50000000000000,scpipe,1.0.0+galaxy2                                                                           
127, toolshed.g2.bx.psu.edu/repos/devteam/samtools_bedcov/samtools_bedcov/2.0.2                                                             , 2021-05 ,   20200561508403905.03902439024390,samtools_bedcov,2.0.2                                                             
128, toolshed.g2.bx.psu.edu/repos/iuc/transdecoder/transdecoder/5.5.0+galaxy1                                                               , 2021-05 ,   19511515321226760.14117647058824,transdecoder,5.5.0+galaxy1                                                               
129, toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.10.4+galaxy1                                                                   , 2021-05 ,   19371042527774270.05882352941176,fastq_dump,2.10.4+galaxy1                                                                   
130, toolshed.g2.bx.psu.edu/repos/iuc/mothur_align_seqs/mothur_align_seqs/1.39.5.0                                                          , 2021-05 ,   18658183397759082.48207171314741,mothur_align_seqs,1.39.5.0                                                          
131, toolshed.g2.bx.psu.edu/repos/iuc/hyphy_relax/hyphy_relax/2.5.31+galaxy1                                                                , 2021-05 ,   18315542544214048.50000000000000,hyphy_relax,2.5.31+galaxy1                                                                
132, toolshed.g2.bx.psu.edu/repos/devteam/samtools_rmdup/samtools_rmdup/2.0.1                                                               , 2021-05 ,   18086645922028429.48347107438017,samtools_rmdup,2.0.1                                                               
133, toolshed.g2.bx.psu.edu/repos/iuc/samtools_view/samtools_view/1.9+galaxy3                                                               , 2021-05 ,   18017777277815333.44196951934349,samtools_view,1.9+galaxy3                                                               
134, toolshed.g2.bx.psu.edu/repos/miller-lab/genome_diversity/gd_raxml/1.0.0                                                                , 2021-05 ,   17708450549754053.79411764705882,gd_raxml,1.0.0                                                                
135, toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/fastq_dump/2.9.1.3                                                                          , 2021-05 ,   17372086519318965.00000000000000,fastq_dump,2.9.1.3                                                                          
136, toolshed.g2.bx.psu.edu/repos/iuc/samtools_depth/samtools_depth/1.9                                                                     , 2021-05 ,   16004114781857939.93087557603687,samtools_depth,1.9                                                                     
137, toolshed.g2.bx.psu.edu/repos/iuc/rgrnastar/rna_star/2.7.2b                                                                             , 2021-05 ,   15829962967523587.57142857142857,rna_star,2.7.2b                                                                             
138, toolshed.g2.bx.psu.edu/repos/bgruening/diamond/bg_diamond/0.9.29.0                                                                     , 2021-05 ,   15003578466321132.64893617021277,bg_diamond,0.9.29.0                                                                     
139, toolshed.g2.bx.psu.edu/repos/iuc/mothur_fastq_info/mothur_fastq_info/1.39.5.0                                                          , 2021-05 ,   14352321288110073.29523809523810,mothur_fastq_info,1.39.5.0                                                          
140, toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/3.3.0.0.0                                         , 2021-05 ,   13397448798094318.00000000000000,deeptools_bam_coverage,3.3.0.0.0                                         
141, toolshed.g2.bx.psu.edu/repos/iuc/rgrnastar/rna_star/2.7.7a                                                                             , 2021-05 ,   13216017956556249.12500000000000,rna_star,2.7.7a                                                                             
142, toolshed.g2.bx.psu.edu/repos/galaxyp/unipept/unipept/4.3.0                                                                             , 2021-05 ,   11874040446199473.20000000000000,unipept,4.3.0                                                                             
143, toolshed.g2.bx.psu.edu/repos/iuc/pilon/pilon/1.20.1                                                                                    , 2021-05 ,   11801074079774257.41379310344828,pilon,1.20.1                                                                                    
144, toolshed.g2.bx.psu.edu/repos/iuc/bcftools_mpileup/bcftools_mpileup/1.10                                                                , 2021-05 ,   11327101848924859.90873533246415,bcftools_mpileup,1.10                                                                
145, toolshed.g2.bx.psu.edu/repos/mbernt/maxbin2/maxbin2/2.2.7+galaxy2                                                                      , 2021-05 ,   10798142785849597.66666666666667,maxbin2,2.2.7+galaxy2                                                                      
146, toolshed.g2.bx.psu.edu/repos/iuc/umi_tools_extract/umi_tools_extract/0.5.5.1                                                           , 2021-05 ,   10575128682894735.15789473684211,umi_tools_extract,0.5.5.1                                                           
