  date   |                                                                tool_id                                                                 | num_jobs | num_users 
 2020-01 | aggregate_scores_in_intervals2                                                                                                         |        1 |         1
 2020-01 | bed2gff1                                                                                                                               |      109 |        28
 2020-01 | bed_to_bigBed                                                                                                                          |       18 |         8
 2020-01 | cat1                                                                                                                                   |     1469 |       112
 2020-01 | comp1                                                                                                                                  |      789 |        93
 2020-01 | createInterval                                                                                                                         |       17 |         5
 2020-01 | csv_to_tabular                                                                                                                         |      706 |        70
 2020-01 | ebi_sra_main                                                                                                                           |     5817 |       263
 2020-01 | flymine                                                                                                                                |        5 |         0
 2020-01 | gene2exon1                                                                                                                             |       12 |        10
 2020-01 | genomespace_exporter                                                                                                                   |       21 |         5
 2020-01 | gff2bed1                                                                                                                               |      129 |        50
 2020-01 | gff_filter_by_attribute                                                                                                                |       10 |         5
 2020-01 | gff_filter_by_feature_count                                                                                                            |       10 |         8
 2020-01 | gtf_filter_by_attribute_values_list                                                                                                    |        7 |         4
 2020-01 | hgv_add_scores                                                                                                                         |       11 |         3
 2020-01 | hgv_david                                                                                                                              |       71 |        14
 2020-01 | hgv_ldtools                                                                                                                            |        3 |         1
 2020-01 | hgv_linkToGProfile                                                                                                                     |        8 |         7
 2020-01 | hgv_pass                                                                                                                               |        1 |         1
 2020-01 | hgv_sift                                                                                                                               |       13 |         1
 2020-01 | intermine                                                                                                                              |        1 |         0
 2020-01 | join1                                                                                                                                  |     2022 |       354
 2020-01 | liftOver1                                                                                                                              |       73 |        20
 2020-01 | maf_limit_size1                                                                                                                        |        1 |         0
 2020-01 | maf_stats1                                                                                                                             |        4 |         1
 2020-01 | master2pgSnp                                                                                                                           |       10 |         4
 2020-01 | mergeCols1                                                                                                                             |      667 |        32
 2020-01 | modENCODEfly                                                                                                                           |       10 |         2
 2020-01 | modENCODEworm                                                                                                                          |        1 |         0
 2020-01 | param_value_from_file                                                                                                                  |      796 |         4
 2020-01 | qual_stats_boxplot                                                                                                                     |       41 |         8
 2020-01 | random_lines1                                                                                                                          |       83 |        11
 2020-01 | secure_hash_message_digest                                                                                                             |        1 |         1
 2020-01 | sort1                                                                                                                                  |      966 |       255
 2020-01 | tabular_to_csv                                                                                                                         |      474 |        80
 2020-01 | toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_bamtobed/0.1.0                                                             |        9 |         1
 2020-01 | toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_genomecoveragebed_bedgraph/0.1.0                                           |       71 |        15
 2020-01 | toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_multiintersectbed/0.1.0                                                    |        5 |         2
 2020-01 | toolshed.g2.bx.psu.edu/repos/arkarachai-fungtammasan/str_fm/GenotypeSTR/2.0.0                                                          |        3 |         1
 2020-01 | toolshed.g2.bx.psu.edu/repos/arkarachai-fungtammasan/str_fm/PEsortedSAM2readprofile/1.1.0                                              |        3 |         1
 2020-01 | toolshed.g2.bx.psu.edu/repos/arkarachai-fungtammasan/str_fm/Profilegenerator/2.0.0                                                     |        5 |         3
 2020-01 | toolshed.g2.bx.psu.edu/repos/arkarachai-fungtammasan/str_fm/combineproballelecom/2.0.0                                                 |        3 |         1
 2020-01 | toolshed.g2.bx.psu.edu/repos/arkarachai-fungtammasan/str_fm/fetchflank/1.0.0                                                           |        3 |         1
 2020-01 | toolshed.g2.bx.psu.edu/repos/arkarachai-fungtammasan/str_fm/heteroprob/2.0.0                                                           |        3 |         1
 2020-01 | toolshed.g2.bx.psu.edu/repos/arkarachai-fungtammasan/str_fm/microsatcompat/1.0.0                                                       |        3 |         1
 2020-01 | toolshed.g2.bx.psu.edu/repos/arkarachai-fungtammasan/str_fm/microsatellite/1.0.0                                                       |       20 |         7
 2020-01 | toolshed.g2.bx.psu.edu/repos/arkarachai-fungtammasan/str_fm/microsatpurity/1.0.0                                                       |        4 |         2
 2020-01 | toolshed.g2.bx.psu.edu/repos/arkarachai-fungtammasan/str_fm/readdepth2seqdepth/1.0.0                                                   |        3 |         1
 2020-01 | toolshed.g2.bx.psu.edu/repos/arkarachai-fungtammasan/str_fm/space2underscore_readname/1.0.0                                            |        3 |         1
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/augustus/augustus/3.3.3                                                                         |        2 |         2
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_compare/deeptools_bam_compare/2.3.5.0                                             |        1 |         1
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_compare/deeptools_bam_compare/3.1.2.0.0                                           |       13 |         3
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_compare/deeptools_bam_compare/3.3.0.0.0                                           |      314 |        49
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.5.0.0                                           |       11 |         3
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/3.0.2.0                                           |        4 |         1
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/3.1.2.0.0                                         |      391 |        14
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/3.3.0.0.0                                         |     2891 |       241
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_pe_fragmentsize/deeptools_bam_pe_fragmentsize/3.3.0.0.0                           |       73 |         8
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bigwig_compare/deeptools_bigwig_compare/3.1.2.0.0                                     |       30 |         2
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bigwig_compare/deeptools_bigwig_compare/3.3.0.0.0                                     |      198 |        27
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/2.5.0.0                                     |        3 |         1
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_gc_bias/deeptools_compute_gc_bias/3.3.0.0.0                                   |       19 |         5
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_matrix/deeptools_compute_matrix/2.5.0.0                                       |       34 |         6
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_matrix/deeptools_compute_matrix/3.1.2.0.0                                     |      147 |        12
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_compute_matrix/deeptools_compute_matrix/3.3.0.0.0                                     |     1733 |       115
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_correct_gc_bias/deeptools_correct_gc_bias/3.3.0.0.0                                   |        5 |         3
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_multi_bam_summary/deeptools_multi_bam_summary/2.5.0.0                                 |        1 |         1
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_multi_bam_summary/deeptools_multi_bam_summary/3.1.2.0.0                               |        1 |         1
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_multi_bam_summary/deeptools_multi_bam_summary/3.3.0.0.0                               |      244 |        65
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_multi_bigwig_summary/deeptools_multi_bigwig_summary/3.1.2.0.0                         |        3 |         1
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_multi_bigwig_summary/deeptools_multi_bigwig_summary/3.3.0.0.0                         |      242 |        39
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_correlation/deeptools_plot_correlation/3.1.2.0.0                                 |        1 |         1
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_correlation/deeptools_plot_correlation/3.3.0.0.0                                 |      496 |        73
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_coverage/deeptools_plot_coverage/2.5.0.0                                         |        3 |         1
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_coverage/deeptools_plot_coverage/3.1.2.0.0                                       |        2 |         2
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_coverage/deeptools_plot_coverage/3.3.0.0.0                                       |       87 |        21
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_enrichment/deeptools_plot_enrichment/3.3.0.0.0                                   |       24 |        10
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_fingerprint/deeptools_plot_fingerprint/2.5.0.0                                   |        3 |         1
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_fingerprint/deeptools_plot_fingerprint/3.3.0.0.0                                 |      119 |        37
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.2.2.0                                           |        2 |         1
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.3.5.0                                           |        2 |         1
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.5.0.0                                           |       22 |         5
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/3.1.2.0.1                                         |       83 |        11
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/3.3.0.0.1                                         |     1665 |        96
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/3.3.0.0.0                                                 |      131 |        31
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.5.0.0                                           |       11 |         2
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/3.1.2.0.0                                         |       44 |         2
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/3.3.0.0.0                                         |      552 |        49
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/diamond/bg_diamond/0.8.24.1                                                                     |       10 |         2
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/diamond/bg_diamond/0.9.21.0                                                                     |       60 |        18
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/diamond/bg_diamond_makedb/0.8.24                                                                |       10 |         4
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/diamond/bg_diamond_makedb/0.9.21                                                                |       39 |        18
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/diamond/bg_diamond_view/0.9.21                                                                  |       16 |         2
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/diffbind/diffbind/2.0.2                                                                         |        1 |         1
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/diffbind/diffbind/2.10.0                                                                        |      193 |        56
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/diffbind/diffbind/2.6.5.0                                                                       |        7 |         1
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/diffbind/diffbind/2.6.6.4                                                                       |       20 |         3
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/find_subsequences/bg_find_subsequences/0.2                                                      |       32 |        10
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/keras_batch_models/keras_batch_models/0.4.2                                                     |        9 |         1
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/keras_model_builder/keras_model_builder/0.4.2                                                   |        8 |         1
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/keras_model_config/keras_model_config/0.4.2                                                     |        9 |         1
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/ml_visualization_ex/ml_visualization_ex/1.0.7.12                                                |       23 |         2
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/model_prediction/model_prediction/1.0.7.12                                                      |        4 |         1
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/plotly_ml_performance_plots/plotly_ml_performance_plots/0.1                                     |       10 |         1
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/plotly_parallel_coordinates_plot/plotly_parallel_coordinates_plot/0.1                           |        6 |         3
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/plotly_regression_performance_plots/plotly_regression_performance_plots/0.1                     |        4 |         2
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/replace_column_by_key_value_file/replace_column_with_key_value_file/0.2                         |       27 |         7
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/sailfish/sailfish/0.10.1.1                                                                      |      157 |        18
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/salmon/salmon/0.11.2                                                                            |       42 |         4
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/salmon/salmon/0.14.1.2                                                                          |      892 |        72
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/sklearn_build_pipeline/sklearn_build_pipeline/1.0.7.12                                          |       34 |         1
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/sklearn_clf_metrics/sklearn_clf_metrics/1.0.7.12                                                |       40 |         1
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/sklearn_data_preprocess/sklearn_data_preprocess/1.0.7.12                                        |       27 |         1
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/sklearn_discriminant_classifier/sklearn_discriminant_classifier/1.0.7.12                        |       13 |         2
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/sklearn_ensemble/sklearn_ensemble/1.0.7.12                                                      |       24 |         1
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/sklearn_estimator_attributes/sklearn_estimator_attributes/1.0.7.12                              |       18 |         1
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/sklearn_feature_selection/sklearn_feature_selection/1.0.7.12                                    |       26 |         1
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/sklearn_fitted_model_eval/sklearn_fitted_model_eval/1.0.7.12                                    |        3 |         1
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/sklearn_generalized_linear/sklearn_generalized_linear/1.0.7.12                                  |       46 |         1
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/sklearn_model_fit/sklearn_model_fit/1.0.7.12                                                    |        4 |         1
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/sklearn_model_validation/sklearn_model_validation/1.0.7.12                                      |       10 |         1
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/sklearn_nn_classifier/sklearn_nn_classifier/1.0.7.12                                            |       15 |         2
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/sklearn_numeric_clustering/sklearn_numeric_clustering/1.0.7.12                                  |       47 |         5
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/sklearn_pairwise_metrics/sklearn_pairwise_metrics/1.0.7.12                                      |        9 |         1
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/sklearn_regression_metrics/sklearn_regression_metrics/1.0.7.12                                  |       18 |         1
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/sklearn_sample_generator/sklearn_sample_generator/1.0.7.12                                      |       39 |         1
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/sklearn_searchcv/sklearn_searchcv/1.0.7.12                                                      |       43 |         1
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/sklearn_stacking_ensemble_models/sklearn_stacking_ensemble_models/0.2.0                         |        6 |         1
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/sklearn_svm_classifier/sklearn_svm_classifier/1.0.7.12                                          |       15 |         2
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/sklearn_train_test_eval/sklearn_train_test_eval/1.0.7.12                                        |        6 |         1
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/sklearn_train_test_split/sklearn_train_test_split/1.0.7.12                                      |       10 |         1
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_awk_tool/1.1.1                                                               |      477 |        42
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_cat/0.1.0                                                                    |      583 |       125
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_cut_tool/1.0.0                                                               |        5 |         4
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_cut_tool/1.1.0                                                               |     2166 |       219
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_easyjoin_tool/1.1.1                                                          |     1593 |        66
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_find_and_replace/1.1.1                                                       |      876 |         3
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_find_and_replace/1.1.2                                                       |      257 |        40
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_grep_tool/1.1.1                                                              |      301 |        39
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_head_tool/1.0.0                                                              |        2 |         1
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_head_tool/1.1.0                                                              |     1266 |       130
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_multijoin_tool/1.1.1                                                         |      420 |        48
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_replace_in_column/1.1.3                                                      |      189 |        44
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_replace_in_line/1.1.0                                                        |       80 |         2
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_replace_in_line/1.1.1                                                        |      360 |         1
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_replace_in_line/1.1.2                                                        |      395 |        30
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sed_tool/1.1.1                                                               |     1792 |        28
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sort_header_tool/1.0.0                                                       |        4 |         2
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sort_header_tool/1.1.0                                                       |      988 |         6
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sort_header_tool/1.1.1                                                       |     1273 |       120
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sort_rows/1.1.0                                                              |        6 |         5
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sorted_uniq/1.1.0                                                            |      287 |        42
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_tac/1.1.0                                                                    |        5 |         2
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_tail_tool/1.1.0                                                              |      135 |        48
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_text_file_with_recurring_lines/1.1.0                                         |        4 |         1
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_unfold_column_tool/1.1.1                                                     |       11 |         8
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_uniq_tool/1.1.1                                                              |      103 |        15
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/trim_galore/trim_galore/0.4.3.1                                                                 |      408 |        18
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/trim_galore/trim_galore/0.6.3                                                                   |     2953 |       256
 2020-01 | toolshed.g2.bx.psu.edu/repos/bgruening/uniprot_rest_interface/uniprot/0.2                                                              |       46 |        12
 2020-01 | toolshed.g2.bx.psu.edu/repos/blankenberg/naive_variant_caller/naive_variant_caller/0.0.2                                               |        2 |         1
 2020-01 | toolshed.g2.bx.psu.edu/repos/blankenberg/naive_variant_caller/naive_variant_caller/0.0.4                                               |      510 |        36
 2020-01 | toolshed.g2.bx.psu.edu/repos/boris/filter_on_md/MDtag_filter/1.0.2                                                                     |       15 |         3
 2020-01 | toolshed.g2.bx.psu.edu/repos/boris/getalleleseq/getalleleseq/0.0.1                                                                     |        6 |         4
 2020-01 | toolshed.g2.bx.psu.edu/repos/boris/hetbox/hetbox/1.0                                                                                   |        3 |         2
 2020-01 | toolshed.g2.bx.psu.edu/repos/boris/phylorelatives/phylorelatives/0.0.1                                                                 |        4 |         2
 2020-01 | toolshed.g2.bx.psu.edu/repos/crs4/prokka/prokka/1.12.0                                                                                 |       10 |         3
 2020-01 | toolshed.g2.bx.psu.edu/repos/crs4/prokka/prokka/1.13                                                                                   |     1367 |       124
 2020-01 | toolshed.g2.bx.psu.edu/repos/crs4/prokka/prokka/1.14.5                                                                                 |      260 |        72
 2020-01 | toolshed.g2.bx.psu.edu/repos/crs4/taxonomy_krona_chart/taxonomy_krona_chart/2.6.1.1                                                    |      195 |        75
 2020-01 | toolshed.g2.bx.psu.edu/repos/devteam/analyze_covariates/gatk_analyze_covariates/0.0.5                                                  |       53 |        10
 2020-01 | toolshed.g2.bx.psu.edu/repos/devteam/annotation_profiler/Annotation_Profiler_0/1.0.0                                                   |        4 |         1
 2020-01 | toolshed.g2.bx.psu.edu/repos/devteam/bam_to_sam/bam_to_sam/2.0                                                                         |       44 |         3
 2020-01 | toolshed.g2.bx.psu.edu/repos/devteam/bam_to_sam/bam_to_sam/2.0.1                                                                       |      797 |       135
 2020-01 | toolshed.g2.bx.psu.edu/repos/devteam/bamtools/bamtools/0.0.1                                                                           |        6 |         1
 2020-01 | toolshed.g2.bx.psu.edu/repos/devteam/bamtools/bamtools/0.0.2                                                                           |        4 |         1
 2020-01 | toolshed.g2.bx.psu.edu/repos/devteam/bamtools/bamtools/2.4.0                                                                           |      477 |        62
